bea_code,bea_desc,bea_windc,category
F030,Change in private inventories,changinv,finaldemand
F06E,Federal national defense: Gross investment in equipment,def_equipment,finaldemand
F06N,Federal national defense: Gross investment in intellectual property products,def_intelprop,finaldemand
F06S,Federal national defense: Gross investment in structures,def_structures,finaldemand
F07E,Federal nondefense: Gross investment in equipment,fed_equipment,finaldemand
F07N,Federal nondefense: Gross investment in intellectual property products,fed_intelprop,finaldemand
F07S,Federal nondefense: Gross investment in structures,fed_structures,finaldemand
F06C,National defense: Consumption expenditures,defense,finaldemand
F07C,Nondefense: Consumption expenditures,nondefense,finaldemand
F02E,Nonresidential private fixed investment in equipment,equipment,finaldemand
F02N,Nonresidential private fixed investment in intellectual property products,intelprop,finaldemand
F02S,Nonresidential private fixed investment in structures,structures,finaldemand
F010,Personal consumption expenditures,pce,finaldemand
F02R,Residential private fixed investment,residential,finaldemand
F10C,State and local government consumption expenditures,state_consume,finaldemand
F10E,State and local: Gross investment in equipment,state_equipment,finaldemand
F10N,State and local: Gross investment in intellectual property products,state_intelprop,finaldemand
F10S,State and local: Gross investment in structures,state_invest,finaldemand
721,Accommodation,amd,gds
561,Administrative and support services,adm,gds
481,Air transportation,air,gds
621,Ambulatory health care services,amb,gds
713,"Amusements, gambling, and recreation industries",rec,gds
315AL,Apparel and leather and allied products,alt,gds
513,Broadcasting and telecommunications,brd,gds
325,Chemical products,che,gds
334,Computer and electronic products,cep,gds
5415,Computer systems design and related services,com,gds
23,Construction,con,gds
514,"Data processing, internet publishing, and other information services",dat,gds
61,Educational services,edu,gds
335,"Electrical equipment, appliances, and components",eec,gds
332,Fabricated metal products,fmt,gds
111CA,Farms,agr,gds
521CI,"Federal Reserve banks, credit intermediation, and related activities",bnk,gds
GFGD,Federal general government (defense),fdd,gds
GFGN,Federal general government (nondefense),fnd,gds
GFE,Federal government enterprises,fen,gds
311FT,Food and beverage and tobacco products,fbp,gds
445,Food and beverage stores,fbt,gds
722,Food services and drinking places,res,gds
113FF,"Forestry, fishing, and related activities",fof,gds
525,"Funds, trusts, and other financial vehicles",fin,gds
337,Furniture and related products,fpd,gds
452,General merchandise stores,gmt,gds
622,Hospitals,hos,gds
HS,Housing,hou,gds
524,Insurance carriers and related activities,ins,gds
5411,Legal services,leg,gds
333,Machinery,mch,gds
55,Management of companies and enterprises,man,gds
212,"Mining, except oil and gas",min,gds
339,Miscellaneous manufacturing,mmf,gds
5412OP,"Miscellaneous professional, scientific, and technical services",tsv,gds
512,Motion picture and sound recording industries,mov,gds
441,Motor vehicle and parts dealers,mvt,gds
3361MV,"Motor vehicles, bodies and trailers, and parts",mot,gds
Other,Noncomparable imports and rest-of-the-world adjustment,oth,gds
327,Nonmetallic mineral products,nmp,gds
623,Nursing and residential care facilities,nrs,gds
211,Oil and gas extraction,oil,gds
ORE,Other real estate,ore,gds
4A0,Other retail,ott,gds
81,"Other services, except government",osv,gds
487OS,Other transportation and support activities,otr,gds
3364OT,Other transportation equipment,ote,gds
322,Paper products,ppd,gds
711AS,"Performing arts, spectator sports, museums, and related activities",art,gds
324,Petroleum and coal products,pet,gds
486,Pipeline transportation,pip,gds
326,Plastics and rubber products,pla,gds
331,Primary metals,pmt,gds
323,Printing and related support activities,pri,gds
511,"Publishing industries, except internet (includes software)",pub,gds
482,Rail transportation,trn,gds
532RL,Rental and leasing services and lessors of intangible assets,rnt,gds
Used,"Scrap, used and secondhand goods",use,gds
523,"Securities, commodity contracts, and investments",sec,gds
624,Social assistance,soc,gds
GSLG,State and local general government,slg,gds
GSLE,State and local government enterprises,sle,gds
213,Support activities for mining,smn,gds
313TT,Textile mills and textile product mills,tex,gds
485,Transit and ground passenger transportation,grd,gds
484,Truck transportation,trk,gds
22,Utilities,uti,gds
493,Warehousing and storage,wrh,gds
562,Waste management and remediation services,wst,gds
483,Water transportation,wtt,gds
42,Wholesale trade,wht,gds
321,Wood products,wpd,gds
T00SUB,Less: Subsidies,subsidies,taxessubsidies
T00TOP,Taxes on products and imports,taxes,taxessubsidies
V001,Compensation of employees,compen,valueadded
V003,Gross operating surplus,surplus,valueadded
T00OTOP,Other taxes on production,othtax,valueadded
MADJ,CIF/FOB Adjustments on Imports,ciffob,
F040,Exports of goods and services,exports,
MDTY,Import duties,duties,
MCIF,Imports,imports,
SUB,Subsidies,subsidies,
TOP,Tax on products,tax,
T007,Total Commodity Output,output,
T005,Total Intermediate,interm,
T001,Total Intermediate,totint,
T018,Total industry output (basic prices),industryoutput,
T017,Total industry supply,totalbasic,
T013,Total product supply (basic prices),basicsupply,
T016,Total product supply (purchaser prices),supply,
T015,Total tax less subsidies on products,taxlessubsidies,
T014,Total trade and transportation margins,trdtrn,
T019,Total use of products,totaluse,
Trade,Trade margins,margins,
Trans,Transport margins,trncost,
VABAS,Value Added (basic prices),basicvalueadded,
VAPRO,Value Added (producer prices),valueadded,
