from,to
Gross domestic product (GDP) by state,gdp
Taxes on production and imports less subsidies,taxsbd
Compensation of employees,cmp
Subsidies,sbd
Taxes on production and imports,tax
Gross operating surplus,gos
Quantity indexes for real GDP by state (2012=100.0),qty
Real GDP by state,rgdp
Gross domestic product (GDP) by metropolitan area,gdp
Quantity indexes for real GDP by metropolitan area (2009=100.0),qty
Real GDP by metropolitan area,rgdp
