from,to
coal,col
com,com
elec,ele
nat_gas,gas
natgas,gas
geothermal,ge
hydro,hy
ind,ind
nuclear,nu
petrol,oil
petroleum,oil
res,res
solar,so
trans,trn
wind,wy
