bea_code,bea_desc,bea_windc,category
1111A0,Oilseed farming,oil_agr,gds
1111B0,Grain farming,grn_agr,gds
111200,Vegetable and melon farming,veg_agr,gds
111300,Fruit and tree nut farming,nut_agr,gds
111400,"Greenhouse, nursery, and floriculture production",flo_agr,gds
111900,Other crop farming,oth_agr,gds
112120,Dairy cattle and milk production,dry_agr,gds
1121A0,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",bef_agr,gds
112300,Poultry and egg production,egg_agr,gds
112A00,"Animal production, except cattle and poultry and eggs",ota_agr,gds
113000,Forestry and logging,log_fof,gds
114000,"Fishing, hunting and trapping",fht_fof,gds
115000,Support activities for agriculture and forestry,saf_fof,gds
211000,Oil and gas extraction,oil_oil,gds
212100,Coal mining,col_min,gds
212230,"Copper, nickel, lead, and zinc mining",led_min,gds
2122A0,"Iron, gold, silver, and other metal ore mining",ore_min,gds
212310,Stone mining and quarrying,stn_min,gds
2123A0,Other nonmetallic mineral mining and quarrying,oth_min,gds
213111,Drilling oil and gas wells,drl_smn,gds
21311A,Other support activities for mining,oth_smn,gds
221100,"Electric power generation, transmission, and distribution",ele_uti,gds
221200,Natural gas distribution,gas_uti,gds
221300,"Water, sewage and other systems",wat_uti,gds
233210,Health care structures,hcs_con,gds
233262,Educational and vocational structures,edu_con,gds
230301,Nonresidential maintenance and repair,nmr_con,gds
230302,Residential maintenance and repair,rmr_con,gds
2332A0,Office and commercial structures,off_con,gds
233412,Multifamily residential structures,mrs_con,gds
2334A0,Other residential structures,ors_con,gds
233230,Manufacturing structures,mfs_con,gds
2332D0,Other nonresidential structures,ons_con,gds
233240,Power and communication structures,pwr_con,gds
233411,Single-family residential structures,srs_con,gds
2332C0,Transportation structures and highways and streets,trn_con,gds
321100,Sawmills and wood preservation,saw_wpd,gds
321200,"Veneer, plywood, and engineered wood product manufacturing",ven_wpd,gds
321910,Millwork,mil_wpd,gds
3219A0,All other wood product manufacturing,owp_wpd,gds
327100,Clay product and refractory manufacturing,cly_nmp,gds
327200,Glass and glass product manufacturing,gla_nmp,gds
327310,Cement manufacturing,cmt_nmp,gds
327320,Ready-mix concrete manufacturing,cnc_nmp,gds
327330,"Concrete pipe, brick, and block manufacturing",cpb_nmp,gds
327390,Other concrete product manufacturing,ocp_nmp,gds
327400,Lime and gypsum product manufacturing,lme_nmp,gds
327910,Abrasive product manufacturing,abr_nmp,gds
327991,Cut stone and stone product manufacturing,cut_nmp,gds
327992,Ground or treated mineral and earth manufacturing,tmn_nmp,gds
327993,Mineral wool manufacturing,wol_nmp,gds
327999,Miscellaneous nonmetallic mineral products,mnm_nmp,gds
331110,Iron and steel mills and ferroalloy manufacturing,irn_pmt,gds
331200,Steel product manufacturing from purchased steel,stl_pmt,gds
331313,Alumina refining and primary aluminum production,ala_pmt,gds
326210,Tire manufacturing,tir_pla,gds
33131B,Aluminum product manufacturing from purchased aluminum,alu_pmt,gds
331410,Nonferrous Metal (except Aluminum) Smelting and Refining,nms_pmt,gds
331420,"Copper rolling, drawing, extruding and alloying",cop_pmt,gds
331490,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",nfm_pmt,gds
331510,Ferrous metal foundries,fmf_pmt,gds
331520,Nonferrous metal foundries,nff_pmt,gds
332114,Custom roll forming,rol_fmt,gds
33211A,"All other forging, stamping, and sintering",fss_fmt,gds
332119,"Metal crown, closure, and other metal stamping (except automotive)",crn_fmt,gds
332200,Cutlery and handtool manufacturing,cut_fmt,gds
332310,Plate work and fabricated structural product manufacturing,plt_fmt,gds
332320,Ornamental and architectural metal products manufacturing,orn_fmt,gds
332410,Power boiler and heat exchanger manufacturing,pwr_fmt,gds
332420,Metal tank (heavy gauge) manufacturing,mtt_fmt,gds
332430,"Metal can, box, and other metal container (light gauge) manufacturing",mtc_fmt,gds
332500,Hardware manufacturing,hdw_fmt,gds
332600,Spring and wire product manufacturing,spr_fmt,gds
332710,Machine shops,mch_fmt,gds
332720,"Turned product and screw, nut, and bolt manufacturing",tps_fmt,gds
332800,"Coating, engraving, heat treating and allied activities",ceh_fmt,gds
332913,Plumbing fixture fitting and trim manufacturing,plb_fmt,gds
33291A,Valve and fittings other than plumbing,vlv_fmt,gds
332991,Ball and roller bearing manufacturing,bbr_fmt,gds
332996,Fabricated pipe and pipe fitting manufacturing,fab_fmt,gds
33299A,"Ammunition, arms, ordnance, and accessories manufacturing",amn_fmt,gds
332999,Other fabricated metal manufacturing,omf_fmt,gds
333111,Farm machinery and equipment manufacturing,frm_mch,gds
333112,Lawn and garden equipment manufacturing,lwn_mch,gds
333120,Construction machinery manufacturing,con_mch,gds
333130,Mining and oil and gas field machinery manufacturing,min_mch,gds
333242,Semiconductor machinery manufacturing,smc_mch,gds
33329A,Other industrial machinery manufacturing,oti_mch,gds
333314,Optical instrument and lens manufacturing,opt_mch,gds
333316,Photographic and photocopying equipment manufacturing,pht_mch,gds
333318,Other commercial and service industry machinery manufacturing,oci_mch,gds
333414,Heating equipment (except warm air furnaces) manufacturing,hea_mch,gds
333415,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",acn_mch,gds
333413,Industrial and commercial fan and blower and air purification equipment manufacturing,air_mch,gds
333511,Industrial mold manufacturing,imm_mch,gds
333514,"Special tool, die, jig, and fixture manufacturing",spt_mch,gds
333517,Machine tool manufacturing,mct_mch,gds
33351B,"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing",cut_mch,gds
333611,Turbine and turbine generator set units manufacturing,tbn_mch,gds
333612,"Speed changer, industrial high-speed drive, and gear manufacturing",spd_mch,gds
333613,Mechanical power transmission equipment manufacturing,mch_mch,gds
333618,Other engine equipment manufacturing,oee_mch,gds
333912,Air and gas compressor manufacturing,agc_mch,gds
33391A,Pump and pumping equipment manufacturing,ppe_mch,gds
333920,Material handling equipment manufacturing,mat_mch,gds
333991,Power-driven handtool manufacturing,pwr_mch,gds
333993,Packaging machinery manufacturing,pkg_mch,gds
531HST,Tenant-occupied housing,rnt_hou,gds
333994,Industrial process furnace and oven manufacturing,ipf_mch,gds
33399A,Other general purpose machinery manufacturing,ogp_mch,gds
33399B,Fluid power process machinery,fld_mch,gds
334111,Electronic computer manufacturing,ecm_cep,gds
334112,Computer storage device manufacturing,csd_cep,gds
334118,Computer terminals and other computer peripheral equipment manufacturing,ctm_cep,gds
334210,Telephone apparatus manufacturing,tel_cep,gds
334220,Broadcast and wireless communications equipment,brd_cep,gds
334290,Other communications equipment manufacturing,oce_cep,gds
334413,Semiconductor and related device manufacturing,sem_cep,gds
334418,Printed circuit assembly (electronic assembly) manufacturing,prc_cep,gds
33441A,Other electronic component manufacturing,oec_cep,gds
334510,Electromedical and electrotherapeutic apparatus manufacturing,eea_cep,gds
334511,"Search, detection, and navigation instruments manufacturing",sdn_cep,gds
334512,Automatic environmental control manufacturing,aec_cep,gds
334513,Industrial process variable instruments manufacturing,ipv_cep,gds
334514,Totalizing fluid meter and counting device manufacturing,tfl_cep,gds
334515,Electricity and signal testing instruments manufacturing,els_cep,gds
334516,Analytical laboratory instrument manufacturing,ali_cep,gds
334517,Irradiation apparatus manufacturing,irr_cep,gds
33451A,"Watch, clock, and other measuring and controlling device manufacturing",wcm_cep,gds
334300,Audio and video equipment manufacturing,aud_cep,gds
334610,Manufacturing and reproducing magnetic and optical media,mmo_cep,gds
335110,Electric lamp bulb and part manufacturing,elb_eec,gds
335120,Lighting fixture manufacturing,ltf_eec,gds
335210,Small electrical appliance manufacturing,sea_eec,gds
335221,Household cooking appliance manufacturing,hca_eec,gds
335222,Household refrigerator and home freezer manufacturing,hrf_eec,gds
335224,Household laundry equipment manufacturing,hle_eec,gds
335228,Other major household appliance manufacturing,omh_eec,gds
335311,"Power, distribution, and specialty transformer manufacturing",pwr_eec,gds
335312,Motor and generator manufacturing,mtg_eec,gds
335313,Switchgear and switchboard apparatus manufacturing,swt_eec,gds
335314,Relay and industrial control manufacturing,ric_eec,gds
335911,Storage battery manufacturing,sbt_eec,gds
335912,Primary battery manufacturing,pbt_eec,gds
335920,Communication and energy wire and cable manufacturing,cme_eec,gds
335930,Wiring device manufacturing,wdv_eec,gds
335991,Carbon and graphite product manufacturing,cbn_eec,gds
335999,All other miscellaneous electrical equipment and component manufacturing,oee_eec,gds
336111,Automobile manufacturing,atm_mot,gds
336112,Light truck and utility vehicle manufacturing,ltr_mot,gds
336120,Heavy duty truck manufacturing,htr_mot,gds
336211,Motor vehicle body manufacturing,mbd_mot,gds
336212,Truck trailer manufacturing,trl_mot,gds
336213,Motor home manufacturing,hom_mot,gds
336214,Travel trailer and camper manufacturing,cam_mot,gds
336310,Motor vehicle gasoline engine and engine parts manufacturing,gas_mot,gds
336320,Motor vehicle electrical and electronic equipment manufacturing,eee_mot,gds
336350,Motor vehicle transmission and power train parts manufacturing,tpw_mot,gds
336360,Motor vehicle seating and interior trim manufacturing,trm_mot,gds
