bea_code,bea_desc,bea_windc,category
336370,Motor vehicle metal stamping,stm_mot,gds
336390,Other Motor Vehicle Parts Manufacturing,omv_mot,gds
3363A0,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",brk_mot,gds
336411,Aircraft manufacturing,air_ote,gds
336412,Aircraft engine and engine parts manufacturing,aen_ote,gds
336413,Other aircraft parts and auxiliary equipment manufacturing,oar_ote,gds
336414,Guided missile and space vehicle manufacturing,mis_ote,gds
33641A,Propulsion units and parts for space vehicles and guided missiles,pro_ote,gds
336500,Railroad rolling stock manufacturing,rrd_ote,gds
336611,Ship building and repairing,shp_ote,gds
336612,Boat building,bot_ote,gds
336991,"Motorcycle, bicycle, and parts manufacturing",mcl_ote,gds
336992,"Military armored vehicle, tank, and tank component manufacturing",mlt_ote,gds
336999,All other transportation equipment manufacturing,otm_ote,gds
337110,Wood kitchen cabinet and countertop manufacturing,cab_fpd,gds
337121,Upholstered household furniture manufacturing,uph_fpd,gds
337122,Nonupholstered wood household furniture manufacturing,nup_fpd,gds
337127,Institutional furniture manufacturing,ifm_fpd,gds
33712N,Other household nonupholstered furniture,ohn_fpd,gds
337215,"Showcase, partition, shelving, and locker manufacturing",shv_fpd,gds
33721A,Office furniture and custom architectural woodwork and millwork manufacturing,off_fpd,gds
337900,Other furniture related product manufacturing,ofp_fpd,gds
339112,Surgical and medical instrument manufacturing,smi_mmf,gds
339113,Surgical appliance and supplies manufacturing,sas_mmf,gds
339114,Dental equipment and supplies manufacturing,dnt_mmf,gds
339115,Ophthalmic goods manufacturing,oph_mmf,gds
339116,Dental laboratories,dlb_mmf,gds
339910,Jewelry and silverware manufacturing,jwl_mmf,gds
339920,Sporting and athletic goods manufacturing,ath_mmf,gds
339930,"Doll, toy, and game manufacturing",toy_mmf,gds
339940,Office supplies (except paper) manufacturing,ofm_mmf,gds
339950,Sign manufacturing,sgn_mmf,gds
339990,All other miscellaneous manufacturing,omm_mmf,gds
311111,Dog and cat food manufacturing,dog_fbp,gds
311119,Other animal food manufacturing,oaf_fbp,gds
311210,Flour milling and malt manufacturing,flr_fbp,gds
311221,Wet corn milling,wet_fbp,gds
311225,Fats and oils refining and blending,fat_fbp,gds
311224,Soybean and other oilseed processing,soy_fbp,gds
311230,Breakfast cereal manufacturing,brk_fbp,gds
311300,Sugar and confectionery product manufacturing,sug_fbp,gds
311410,Frozen food manufacturing,fzn_fbp,gds
311420,"Fruit and vegetable canning, pickling, and drying",can_fbp,gds
311513,Cheese manufacturing,chs_fbp,gds
311514,"Dry, condensed, and evaporated dairy product manufacturing",dry_fbp,gds
31151A,Fluid milk and butter manufacturing,mlk_fbp,gds
311520,Ice cream and frozen dessert manufacturing,ice_fbp,gds
311615,Poultry processing,chk_fbp,gds
31161A,"Animal (except poultry) slaughtering, rendering, and processing",asp_fbp,gds
311700,Seafood product preparation and packaging,sea_fbp,gds
311810,Bread and bakery product manufacturing,brd_fbp,gds
3118A0,"Cookie, cracker, pasta, and tortilla manufacturing",cok_fbp,gds
311910,Snack food manufacturing,snk_fbp,gds
311920,Coffee and tea manufacturing,tea_fbp,gds
311930,Flavoring syrup and concentrate manufacturing,syr_fbp,gds
311940,Seasoning and dressing manufacturing,spc_fbp,gds
311990,All other food manufacturing,ofm_fbp,gds
312110,Soft drink and ice manufacturing,pop_fbp,gds
312120,Breweries,ber_fbp,gds
312130,Wineries,wne_fbp,gds
312140,Distilleries,why_fbp,gds
312200,Tobacco product manufacturing,cig_fbp,gds
313100,"Fiber, yarn, and thread mills",fyt_tex,gds
313200,Fabric mills,fml_tex,gds
313300,Textile and fabric finishing and fabric coating mills,txf_tex,gds
314110,Carpet and rug mills,rug_tex,gds
314120,Curtain and linen mills,lin_tex,gds
314900,Other textile product mills,otp_tex,gds
315000,Apparel manufacturing,app_alt,gds
316000,Leather and allied product manufacturing,lea_alt,gds
322110,Pulp mills,plp_ppd,gds
322120,Paper mills,ppm_ppd,gds
322130,Paperboard mills,pbm_ppd,gds
322210,Paperboard container manufacturing,pbc_ppd,gds
322220,Paper Bag and Coated and Treated Paper Manufacturing,ppb_ppd,gds
322230,Stationery product manufacturing,sta_ppd,gds
322291,Sanitary paper product manufacturing,toi_ppd,gds
322299,All other converted paper product manufacturing,opp_ppd,gds
323110,Printing,pri_pri,gds
323120,Support activities for printing,sap_pri,gds
324110,Petroleum refineries,ref_pet,gds
324121,Asphalt paving mixture and block manufacturing,pav_pet,gds
324122,Asphalt shingle and coating materials manufacturing,shn_pet,gds
324190,Other petroleum and coal products manufacturing,oth_pet,gds
325110,Petrochemical manufacturing,ptr_che,gds
325120,Industrial gas manufacturing,igm_che,gds
325130,Synthetic dye and pigment manufacturing,sdp_che,gds
325180,Other Basic Inorganic Chemical Manufacturing,obi_che,gds
325190,Other basic organic chemical manufacturing,obo_che,gds
325211,Plastics material and resin manufacturing,pmr_che,gds
3252A0,Synthetic rubber and artificial and synthetic fibers and filaments manufacturing,srf_che,gds
325411,Medicinal and botanical manufacturing,mbm_che,gds
325412,Pharmaceutical preparation manufacturing,phm_che,gds
325413,In-vitro diagnostic substance manufacturing,inv_che,gds
325414,Biological product (except diagnostic) manufacturing,bio_che,gds
325310,Fertilizer manufacturing,fmf_che,gds
325320,Pesticide and other agricultural chemical manufacturing,pag_che,gds
325510,Paint and coating manufacturing,pnt_che,gds
325520,Adhesive manufacturing,adh_che,gds
325610,Soap and cleaning compound manufacturing,sop_che,gds
325620,Toilet preparation manufacturing,toi_che,gds
325910,Printing ink manufacturing,pri_che,gds
3259A0,All other chemical product and preparation manufacturing,och_che,gds
326110,Plastics packaging materials and unlaminated film and sheet manufacturing,plm_pla,gds
326120,"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing",ppp_pla,gds
326130,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",lam_pla,gds
326140,Polystyrene foam product manufacturing,fom_pla,gds
326150,Urethane and other foam product (except polystyrene) manufacturing,ure_pla,gds
326160,Plastics bottle manufacturing,bot_pla,gds
326190,Other plastics product manufacturing,opm_pla,gds
326220,Rubber and plastics hoses and belting manufacturing,rbr_pla,gds
326290,Other rubber product manufacturing,orb_pla,gds
423100,Motor vehicle and motor vehicle parts and supplies,mtv_wht,gds
423400,Professional and commercial equipment and supplies,pce_wht,gds
423600,Household appliances and electrical and electronic goods,hha_wht,gds
423800,"Machinery, equipment, and supplies",mch_wht,gds
423A00,Other durable goods merchant wholesalers,odg_wht,gds
424200,Drugs and druggists’ sundries,dru_wht,gds
424400,Grocery and related product wholesalers,gro_wht,gds
424700,Petroleum and petroleum products,pet_wht,gds
424A00,Other nondurable goods merchant wholesalers,ndg_wht,gds
425000,Wholesale electronic markets and agents and brokers,ele_wht,gds
4200ID,Customs duties,dut_wht,gds
441000,Motor vehicle and parts dealers,mvt_mvt,gds
445000,Food and beverage stores,fbt_fbt,gds
452000,General merchandise stores,gmt_gmt,gds
444000,Building material and garden equipment and supplies dealers,bui_ott,gds
446000,Health and personal care stores,hea_ott,gds
447000,Gasoline stations,gas_ott,gds
448000,Clothing and clothing accessories stores,clo_ott,gds
454000,Nonstore retailers,non_ott,gds
4B0000,All other retail,oth_ott,gds
481000,Air transportation,air_air,gds
482000,Rail transportation,trn_trn,gds
483000,Water transportation,wtt_wtt,gds
484000,Truck transportation,trk_trk,gds
485000,Transit and ground passenger transportation,grd_grd,gds
486000,Pipeline transportation,pip_pip,gds
48A000,Scenic and sightseeing transportation and support activities for transportation,sce_otr,gds
492000,Couriers and messengers,mes_otr,gds
493000,Warehousing and storage,wrh_wrh,gds
511110,Newspaper publishers,new_pub,gds
511120,Periodical Publishers,pdl_pub,gds
511130,Book publishers,bok_pub,gds
5111A0,"Directory, mailing list, and other publishers",mal_pub,gds
511200,Software publishers,sfw_pub,gds
512100,Motion picture and video industries,pic_mov,gds
512200,Sound recording industries,snd_mov,gds
515100,Radio and television broadcasting,rad_brd,gds
515200,Cable and other subscription programming,cbl_brd,gds
517110,Wired telecommunications carriers,wtl_brd,gds
517210,Wireless telecommunications carriers (except satellite),wls_brd,gds
517A00,"Satellite, telecommunications resellers, and all other telecommunications",sat_brd,gds
518200,"Data processing, hosting, and related services",dpr_dat,gds
519130,Internet publishing and broadcasting and Web search portals,int_dat,gds
5191A0,"News syndicates, libraries, archives and all other information services",new_dat,gds
522A00,Nondepository credit intermediation and related activities,cre_bnk,gds
52A000,Monetary authorities and depository credit intermediation,mon_bnk,gds
523900,Other financial investment activities,ofi_sec,gds
523A00,Securities and commodity contracts intermediation and brokerage,com_sec,gds
524113,Direct life insurance carriers,dir_ins,gds
5241XX,"Insurance carriers, except direct life",car_ins,gds
524200,"Insurance agencies, brokerages, and related activities",agn_ins,gds
525000,"Funds, trusts, and other financial vehicles",fin_fin,gds
531HSO,Owner-occupied housing,own_hou,gds
531ORE,Other real estate,ore_ore,gds
532100,Automotive equipment rental and leasing,aut_rnt,gds
532400,Commercial and industrial machinery and equipment rental and leasing,com_rnt,gds
532A00,General and consumer goods rental,cmg_rnt,gds
533000,Lessors of nonfinancial intangible assets,int_rnt,gds
541100,Legal services,leg_leg,gds
541511,Custom computer programming services,cus_com,gds
541512,Computer systems design services,sys_com,gds
54151A,"Other computer related services, including facilities management",ocs_com,gds
541200,"Accounting, tax preparation, bookkeeping, and payroll services",acc_tsv,gds
541300,"Architectural, engineering, and related services",arc_tsv,gds
541610,Management consulting services,mgt_tsv,gds
5416A0,Environmental and other technical consulting services,env_tsv,gds
541700,Scientific research and development services,sci_tsv,gds
541800,"Advertising, public relations, and related services",adv_tsv,gds
541400,Specialized design services,des_tsv,gds
541920,Photographic services,pht_tsv,gds
541940,Veterinary services,vet_tsv,gds
5419A0,"All other miscellaneous professional, scientific, and technical services",mkt_tsv,gds
550000,Management of companies and enterprises,man_man,gds
561300,Employment services,emp_adm,gds
561700,Services to buildings and dwellings,dwe_adm,gds
561100,Office administrative services,off_adm,gds
561200,Facilities support services,fac_adm,gds
561400,Business support services,bsp_adm,gds
561500,Travel arrangement and reservation services,trv_adm,gds
561600,Investigation and security services,inv_adm,gds
561900,Other support services,oss_adm,gds
562000,Waste management and remediation services,wst_wst,gds
611100,Elementary and secondary schools,sec_edu,gds
611A00,"Junior colleges, colleges, universities, and professional schools",uni_edu,gds
611B00,Other educational services,oes_edu,gds
621100,Offices of physicians,phy_amb,gds
621200,Offices of dentists,dnt_amb,gds
621300,Offices of other health practitioners,ohp_amb,gds
621400,Outpatient care centers,out_amb,gds
621500,Medical and diagnostic laboratories,lab_amb,gds
621600,Home health care services,hom_amb,gds
621900,Other ambulatory health care services,oas_amb,gds
622000,Hospitals,hos_hos,gds
623A00,Nursing and community care facilities,ncc_nrs,gds
623B00,"Residential mental health, substance abuse, and other residential care facilities",res_nrs,gds
624100,Individual and family services,ifs_soc,gds
624400,Child day care services,day_soc,gds
624A00,"Community food, housing, and other relief services, including rehabilitation services",cmf_soc,gds
711100,Performing arts companies,pfm_art,gds
711200,Spectator sports,spr_art,gds
711500,"Independent artists, writers, and performers",ind_art,gds
711A00,Promoters of performing arts and sports and agents for public figures,agt_art,gds
712000,"Museums, historical sites, zoos, and parks",mus_art,gds
713100,Amusement parks and arcades,amu_rec,gds
713200,Gambling industries (except casino hotels),cas_rec,gds
713900,Other amusement and recreation industries,ori_rec,gds
721000,Accommodation,amd_amd,gds
722110,Full-service restaurants,ful_res,gds
722211,Limited-service restaurants,lim_res,gds
722A00,All other food and drinking places,ofd_res,gds
811100,Automotive repair and maintenance,atr_osv,gds
811200,Electronic and precision equipment repair and maintenance,eqr_osv,gds
811300,Commercial and industrial machinery and equipment repair and maintenance,imr_osv,gds
811400,Personal and household goods repair and maintenance,hgr_osv,gds
812100,Personal care services,pcs_osv,gds
812200,Death care services,fun_osv,gds
812300,Dry-cleaning and laundry services,dry_osv,gds
812900,Other personal services,ops_osv,gds
813100,Religious organizations,rel_osv,gds
813A00,"Grantmaking, giving, and social advocacy organizations",grt_osv,gds
813B00,"Civic, social, professional, and similar organizations",civ_osv,gds
814000,Private households,prv_osv,gds
S00500,Federal general government (defense),fdd_fdd,gds
S00600,Federal general government (nondefense),fnd_fnd,gds
491000,Postal service,pst_fen,gds
S00102,Other federal government enterprises,ofg_fen,gds
GSLGE,State and local government educational services,edu_slg,gds
GSLGH,State and local government hospitals and health services,hea_slg,gds
GSLGO,State and local government other services,oth_slg,gds
S00203,Other state and local government enterprises,ent_sle,gds
S00401,Scrap,srp_use,gds
S00402,Used and secondhand goods,sec_use,gds
S00300,Noncomparable imports,imp_oth,gds
S00900,Rest of the world adjustment,rwa_oth,gds
T017,Total industry supply,TotalBasic,missing
331314,Secondary smelting and alloying of aluminum,sme_pmt,gds
MDTY,Import duties,Duties,missing
TOP,Tax on products,Tax,missing
SUB,Subsidies,Subsidies,missing
S00101,Federal electric utilities,ele_fen,gds
S00201,State and local government passenger transit,trn_sle,gds
S00202,State and local government electric utilities,ele_sle,gds
T007,Total Commodity Output,Output,missing
MCIF,Imports,imports,missing
TRADE,Trade margins,Margins,missing
MADJ,CIF/FOB Adjustments on Imports,ciffob,missing
TRANS,Transportation costs,TrnCost,missing
T013,Total product supply (basic prices),BasicSupply,missing
T014,Total trade and transportation margins,TrdTrn,missing
T015,Total tax less subsidies on products,TaxLesSubsidies,missing
T016,Total product supply (purchaser prices),Supply,missing
T005,Total intermediate inputs,interm,missing
V00100,Compensation of employees,compen,valueadded
T00OTOP,Other taxes on production,othtax,valueadded
V00300,Gross operating surplus,surplus,valueadded
VABAS,Value added (basic value),basicvalueadded,missing
T018,Total industry output (basic value),industryoutput,missing
T00TOP,Plus: Taxes on products and imports,taxes,missing
T00SUB,Less: Subsidies,subsidies,missing
VAPRO,Value added (producer value),valueadded,missing
T001,Total Intermediate,totint,missing
F01000,Personal consumption expenditures,pce,finaldemand
F02E00,Nonresidential private fixed investment in equipment,equipment,finaldemand
F02N00,Nonresidential private fixed investment in intellectual property products,intelprop,finaldemand
F02R00,Residential private fixed investment,residential,finaldemand
F02S00,Nonresidential private fixed investment in structures,structures,finaldemand
F03000,Change in private inventories,changinv,finaldemand
F04000,Exports of goods and services,exports,missing
F06C00,Federal Government defense: Consumption expenditures,defense,finaldemand
F06E00,Federal national defense: Gross investment in equipment,def_equipment,finaldemand
F07C00,Federal Government nondefense: Consumption expenditures,nondefense,finaldemand
F06N00,Federal national defense: Gross investment in intellectual property products,def_intelprop,finaldemand
F06S00,Federal national defense: Gross investment in structures,def_structures,finaldemand
F07E00,Federal nondefense: Gross investment in equipment,fed_equipment,finaldemand
F07S00,Federal nondefense: Gross investment in structures,fed_structures,finaldemand
F07N00,Federal nondefense: Gross investment in intellectual property products,fed_intelprop,finaldemand
F10C00,State and local government consumption expenditures,state_consume,finaldemand
F10E00,State and local: Gross investment in equipment,state_equipment,finaldemand
F10N00,State and local: Gross investment in intellectual property products,state_intelprop,finaldemand
F10S00,State and local: Gross investment in structures,state_invest,finaldemand
T019,Total use of products,totaluse,missing
