yr,i,j,value
2015,agr,agr,402.911
2015,agr,fbp,0.0
2015,agr,uti,0.0
2015,fbp,agr,0.0
2015,fbp,fbp,908.352
2015,fbp,uti,0.0
2015,uti,agr,0.0
2015,uti,fbp,0.0
2015,uti,uti,476.906
2016,agr,agr,379.702
2016,agr,fbp,0.0
2016,agr,uti,0.0
2016,fbp,agr,0.0
2016,fbp,fbp,899.676
2016,fbp,uti,0.0
2016,uti,agr,0.0
2016,uti,fbp,0.0
2016,uti,uti,440.08
