yr,r,s,t,value
2015,md,agr,exports,0.039015212
2015,md,agr,imports,0.77815949
2015,va,agr,exports,1.116013262
2015,va,agr,imports,0.882530034
2016,md,agr,exports,0.033050771
2016,md,agr,imports,0.762088799
2016,va,agr,exports,1.162531539
2016,va,agr,imports,0.867409867
