yr,i,j,value
2015,agr,agr,69.42
2015,agr,fbp,277.179
2015,fbp,agr,49.132
2015,fbp,fbp,210.998
2015,uti,agr,4.846
2015,uti,fbp,10.102
2015,uti,uti,35.093
2016,agr,agr,60.197
2016,agr,fbp,264.173
2016,fbp,agr,47.739
2016,fbp,fbp,205.21
2016,uti,agr,4.548
2016,uti,fbp,9.152
2016,uti,uti,27.47
