from,factor,to
billion btu,1,
btu per kilowatthour,1,
great circle distance in miles,1,
million btu,1,
million btu per barrel,1,
million btu per short ton,1,
million cubic feet,1,
million kilowatthours,1,
million metric tons of carbon dioxide,1,
millions of chained 2009 us dollars (USD),1,
millions of chained 2012 us dollars (USD),1,
millions of us dollars (USD),1,millions of us dollars (USD)
percent,1,
percent change,1,
percentage points,1,
quantity index,1,
routed distance in miles,1,
thousand,1,
thousand barrels,1,
thousand btu per chained 2009 us dollars (USD),1,
thousand btu per cubic foot,1,
thousand btu per kilowatthour,1,
thousand cords,1,
thousand short tons,1,
thousands of us dollars (USD),1E-03,millions of us dollars (USD)
us dollars (USD),1E-06,millions of us dollars (USD)
us dollars (USD) per barrel,1,
us dollars (USD) per million btu,1,
weight of shipment in pounds,1,
