from,to
weight of shipment in pounds,weight of shipment in pounds
great circle distance in miles,great circle distance in miles
routed distance in miles,routed distance in miles
us dollars (USD) per barrel,us dollars (USD) per barrel
million metric tons of carbon dioxide,million metric tons of carbon dioxide
btu per kilowatthour,btu per kilowatthour
thousands,thousand
,
millions of chained 2009 us dollars (USD),millions of chained 2009 us dollars (USD)
millions of chained 2012 us dollars (USD),millions of chained 2012 us dollars (USD)
millions of us dollars (USD),millions of us dollars (USD)
thousand btu per chained 2009 us dollars (USD),thousand btu per chained 2009 us dollars (USD)
thousands of us dollars (USD),thousands of us dollars (USD)
us dollars (USD),us dollars (USD)
us dollars (USD) per million btu,us dollars (USD) per million btu
