state_code,county_code,csa_code,cbsa_code,metdiv_code,state_desc,county_desc,csa_desc,cbsa_desc,metdiv_desc,memi,central_yn
46,013,,10100,,sd,Brown County,,"Aberdeen, SD",,2,true
46,045,,10100,,sd,Edmunds County,,"Aberdeen, SD",,2,false
53,027,,10140,,wa,Grays Harbor County,,"Aberdeen, WA",,2,true
48,059,,10180,,tx,Callahan County,,"Abilene, TX",,1,false
48,253,,10180,,tx,Jones County,,"Abilene, TX",,1,false
48,441,,10180,,tx,Taylor County,,"Abilene, TX",,1,true
40,123,,10220,,ok,Pontotoc County,,"Ada, OK",,2,true
26,091,220,10300,,mi,Lenawee County,"Detroit-Warren-Ann Arbor, MI","Adrian, MI",,2,true
72,003,,10380,,pr,Aguada Municipio,,"Aguadilla-Isabela, PR",,1,true
72,005,,10380,,pr,Aguadilla Municipio,,"Aguadilla-Isabela, PR",,1,true
72,011,,10380,,pr,Añasco Municipio,,"Aguadilla-Isabela, PR",,1,true
72,071,,10380,,pr,Isabela Municipio,,"Aguadilla-Isabela, PR",,1,true
72,081,,10380,,pr,Lares Municipio,,"Aguadilla-Isabela, PR",,1,true
72,099,,10380,,pr,Moca Municipio,,"Aguadilla-Isabela, PR",,1,true
72,117,,10380,,pr,Rincón Municipio,,"Aguadilla-Isabela, PR",,1,true
72,131,,10380,,pr,San Sebastián Municipio,,"Aguadilla-Isabela, PR",,1,true
72,141,,10380,,pr,Utuado Municipio,,"Aguadilla-Isabela, PR",,1,true
39,133,184,10420,,oh,Portage County,"Cleveland-Akron-Canton, OH","Akron, OH",,1,true
39,153,184,10420,,oh,Summit County,"Cleveland-Akron-Canton, OH","Akron, OH",,1,true
35,035,,10460,,nm,Otero County,,"Alamogordo, NM",,2,true
13,095,,10500,,ga,Dougherty County,,"Albany, GA",,1,true
13,177,,10500,,ga,Lee County,,"Albany, GA",,1,true
13,273,,10500,,ga,Terrell County,,"Albany, GA",,1,false
13,321,,10500,,ga,Worth County,,"Albany, GA",,1,false
41,043,440,10540,,or,Linn County,"Portland-Vancouver-Salem, OR-WA","Albany-Lebanon, OR",,1,true
36,001,104,10580,,ny,Albany County,"Albany-Schenectady, NY","Albany-Schenectady-Troy, NY",,1,true
36,083,104,10580,,ny,Rensselaer County,"Albany-Schenectady, NY","Albany-Schenectady-Troy, NY",,1,true
36,091,104,10580,,ny,Saratoga County,"Albany-Schenectady, NY","Albany-Schenectady-Troy, NY",,1,true
36,093,104,10580,,ny,Schenectady County,"Albany-Schenectady, NY","Albany-Schenectady-Troy, NY",,1,true
36,095,104,10580,,ny,Schoharie County,"Albany-Schenectady, NY","Albany-Schenectady-Troy, NY",,1,false
37,167,172,10620,,nc,Stanly County,"Charlotte-Concord, NC-SC","Albemarle, NC",,2,true
27,047,,10660,,mn,Freeborn County,,"Albert Lea, MN",,2,true
01,095,,10700,,al,Marshall County,,"Albertville, AL",,2,true
35,001,106,10740,,nm,Bernalillo County,"Albuquerque-Santa Fe-Las Vegas, NM","Albuquerque, NM",,1,true
35,043,106,10740,,nm,Sandoval County,"Albuquerque-Santa Fe-Las Vegas, NM","Albuquerque, NM",,1,true
35,057,106,10740,,nm,Torrance County,"Albuquerque-Santa Fe-Las Vegas, NM","Albuquerque, NM",,1,false
35,061,106,10740,,nm,Valencia County,"Albuquerque-Santa Fe-Las Vegas, NM","Albuquerque, NM",,1,false
01,037,388,10760,,al,Coosa County,"Montgomery-Selma-Alexander City, AL","Alexander City, AL",,2,false
01,123,388,10760,,al,Tallapoosa County,"Montgomery-Selma-Alexander City, AL","Alexander City, AL",,2,true
22,043,,10780,,la,Grant Parish,,"Alexandria, LA",,1,false
22,079,,10780,,la,Rapides Parish,,"Alexandria, LA",,1,true
27,041,,10820,,mn,Douglas County,,"Alexandria, MN",,2,true
48,131,204,10860,,tx,Duval County,"Corpus Christi-Kingsville-Alice, TX","Alice, TX",,2,false
48,249,204,10860,,tx,Jim Wells County,"Corpus Christi-Kingsville-Alice, TX","Alice, TX",,2,true
34,041,,10900,,nj,Warren County,,"Allentown-Bethlehem-Easton, PA-NJ",,1,true
42,025,,10900,,pa,Carbon County,,"Allentown-Bethlehem-Easton, PA-NJ",,1,true
42,077,,10900,,pa,Lehigh County,,"Allentown-Bethlehem-Easton, PA-NJ",,1,true
42,095,,10900,,pa,Northampton County,,"Allentown-Bethlehem-Easton, PA-NJ",,1,true
26,057,394,10940,,mi,Gratiot County,"Mount Pleasant-Alma, MI","Alma, MI",,2,true
26,007,,10980,,mi,Alpena County,,"Alpena, MI",,2,true
42,013,107,11020,,pa,Blair County,"Altoona-Huntingdon, PA","Altoona, PA",,1,true
40,065,,11060,,ok,Jackson County,,"Altus, OK",,2,true
48,011,108,11100,,tx,Armstrong County,"Amarillo-Pampa-Borger, TX","Amarillo, TX",,1,false
48,065,108,11100,,tx,Carson County,"Amarillo-Pampa-Borger, TX","Amarillo, TX",,1,false
48,359,108,11100,,tx,Oldham County,"Amarillo-Pampa-Borger, TX","Amarillo, TX",,1,false
48,375,108,11100,,tx,Potter County,"Amarillo-Pampa-Borger, TX","Amarillo, TX",,1,true
48,381,108,11100,,tx,Randall County,"Amarillo-Pampa-Borger, TX","Amarillo, TX",,1,true
13,249,,11140,,ga,Schley County,,"Americus, GA",,2,false
13,261,,11140,,ga,Sumter County,,"Americus, GA",,2,true
19,015,218,11180,,ia,Boone County,"Des Moines-Ames-West Des Moines, IA","Ames, IA",,1,false
19,169,218,11180,,ia,Story County,"Des Moines-Ames-West Des Moines, IA","Ames, IA",,1,true
36,057,104,11220,,ny,Montgomery County,"Albany-Schenectady, NY","Amsterdam, NY",,2,true
02,020,,11260,,ak,Anchorage Municipality,,"Anchorage, AK",,1,true
02,170,,11260,,ak,Matanuska-Susitna Borough,,"Anchorage, AK",,1,false
48,003,,11380,,tx,Andrews County,,"Andrews, TX",,2,true
18,151,258,11420,,in,Steuben County,"Fort Wayne-Huntington-Auburn, IN","Angola, IN",,2,true
26,161,220,11460,,mi,Washtenaw County,"Detroit-Warren-Ann Arbor, MI","Ann Arbor, MI",,1,true
01,015,,11500,,al,Calhoun County,,"Anniston-Oxford, AL",,1,true
55,015,118,11540,,wi,Calumet County,"Appleton-Oshkosh-Neenah, WI","Appleton, WI",,1,true
55,087,118,11540,,wi,Outagamie County,"Appleton-Oshkosh-Neenah, WI","Appleton, WI",,1,true
12,027,412,11580,,fl,DeSoto County,"North Port-Sarasota, FL","Arcadia, FL",,2,true
40,019,,11620,,ok,Carter County,,"Ardmore, OK",,2,true
40,085,,11620,,ok,Love County,,"Ardmore, OK",,2,false
72,013,490,11640,,pr,Arecibo Municipio,"San Juan-Bayamón, PR","Arecibo, PR",,1,true
72,027,490,11640,,pr,Camuy Municipio,"San Juan-Bayamón, PR","Arecibo, PR",,1,true
72,065,490,11640,,pr,Hatillo Municipio,"San Juan-Bayamón, PR","Arecibo, PR",,1,true
72,115,490,11640,,pr,Quebradillas Municipio,"San Juan-Bayamón, PR","Arecibo, PR",,1,true
05,019,,11660,,ar,Clark County,,"Arkadelphia, AR",,2,true
37,021,120,11700,,nc,Buncombe County,"Asheville-Marion-Brevard, NC","Asheville, NC",,1,true
37,087,120,11700,,nc,Haywood County,"Asheville-Marion-Brevard, NC","Asheville, NC",,1,true
37,089,120,11700,,nc,Henderson County,"Asheville-Marion-Brevard, NC","Asheville, NC",,1,true
37,115,120,11700,,nc,Madison County,"Asheville-Marion-Brevard, NC","Asheville, NC",,1,false
39,005,360,11740,,oh,Ashland County,"Mansfield-Ashland-Bucyrus, OH","Ashland, OH",,2,true
39,007,184,11780,,oh,Ashtabula County,"Cleveland-Akron-Canton, OH","Ashtabula, OH",,2,true
41,007,,11820,,or,Clatsop County,,"Astoria, OR",,2,true
20,005,312,11860,,ks,Atchison County,"Kansas City-Overland Park-Kansas City, MO-KS","Atchison, KS",,2,true
39,009,,11900,,oh,Athens County,,"Athens, OH",,2,true
47,107,174,11940,,tn,McMinn County,"Chattanooga-Cleveland-Dalton, TN-GA","Athens, TN",,2,true
48,213,206,11980,,tx,Henderson County,"Dallas-Fort Worth, TX-OK","Athens, TX",,2,true
13,059,122,12020,,ga,Clarke County,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Athens-Clarke County, GA",,1,true
13,195,122,12020,,ga,Madison County,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Athens-Clarke County, GA",,1,false
13,219,122,12020,,ga,Oconee County,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Athens-Clarke County, GA",,1,true
13,221,122,12020,,ga,Oglethorpe County,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Athens-Clarke County, GA",,1,false
13,013,122,12060,,ga,Barrow County,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Atlanta-Sandy Springs-Alpharetta, GA",,1,false
13,015,122,12060,,ga,Bartow County,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Atlanta-Sandy Springs-Alpharetta, GA",,1,false
13,035,122,12060,,ga,Butts County,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Atlanta-Sandy Springs-Alpharetta, GA",,1,false
13,045,122,12060,,ga,Carroll County,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Atlanta-Sandy Springs-Alpharetta, GA",,1,false
13,057,122,12060,,ga,Cherokee County,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Atlanta-Sandy Springs-Alpharetta, GA",,1,true
13,063,122,12060,,ga,Clayton County,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Atlanta-Sandy Springs-Alpharetta, GA",,1,true
13,067,122,12060,,ga,Cobb County,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Atlanta-Sandy Springs-Alpharetta, GA",,1,true
13,077,122,12060,,ga,Coweta County,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Atlanta-Sandy Springs-Alpharetta, GA",,1,true
13,085,122,12060,,ga,Dawson County,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Atlanta-Sandy Springs-Alpharetta, GA",,1,false
13,089,122,12060,,ga,DeKalb County,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Atlanta-Sandy Springs-Alpharetta, GA",,1,true
