sector_code,aggregate_code
oil_agr,agr
grn_agr,agr
veg_agr,agr
nut_agr,agr
flo_agr,agr
oth_agr,agr
dry_agr,agr
bef_agr,agr
egg_agr,agr
ota_agr,agr
log_fof,fof
fht_fof,fof
saf_fof,fof
oil_oil,oil
col_min,min
led_min,min
ore_min,min
stn_min,min
oth_min,min
drl_smn,smn
oth_smn,smn
ele_uti,uti
gas_uti,uti
wat_uti,uti
hcs_con,con
edu_con,con
nmr_con,con
rmr_con,con
off_con,con
mrs_con,con
ors_con,con
mfs_con,con
ons_con,con
pwr_con,con
srs_con,con
trn_con,con
saw_wpd,wpd
ven_wpd,wpd
mil_wpd,wpd
owp_wpd,wpd
cly_nmp,nmp
gla_nmp,nmp
cmt_nmp,nmp
cnc_nmp,nmp
cpb_nmp,nmp
ocp_nmp,nmp
lme_nmp,nmp
abr_nmp,nmp
cut_nmp,nmp
tmn_nmp,nmp
wol_nmp,nmp
mnm_nmp,nmp
irn_pmt,pmt
stl_pmt,pmt
ala_pmt,pmt
tir_pla,pla
alu_pmt,pmt
nms_pmt,pmt
cop_pmt,pmt
nfm_pmt,pmt
fmf_pmt,pmt
nff_pmt,pmt
rol_fmt,fmt
fss_fmt,fmt
crn_fmt,fmt
cut_fmt,fmt
plt_fmt,fmt
orn_fmt,fmt
pwr_fmt,fmt
mtt_fmt,fmt
mtc_fmt,fmt
hdw_fmt,fmt
spr_fmt,fmt
mch_fmt,fmt
tps_fmt,fmt
ceh_fmt,fmt
plb_fmt,fmt
vlv_fmt,fmt
bbr_fmt,fmt
fab_fmt,fmt
amn_fmt,fmt
omf_fmt,fmt
frm_mch,mch
lwn_mch,mch
con_mch,mch
min_mch,mch
smc_mch,mch
oti_mch,mch
opt_mch,mch
pht_mch,mch
oci_mch,mch
hea_mch,mch
acn_mch,mch
air_mch,mch
imm_mch,mch
spt_mch,mch
mct_mch,mch
cut_mch,mch
tbn_mch,mch
spd_mch,mch
mch_mch,mch
oee_mch,mch
agc_mch,mch
