a,b,a_desc
osrv,com,Other services
roe,com,Rest of the economy
ele,ele,"Electric power generation, transmission, and distribution"
cng,ind,Crude oil and natural gas extraction
col,ind,Coal mining
con,ind,Construction
cru,ind,Crude oil extraction
eint,ind,Energy/Emission intensive sectors (embodied carbon > .5 kg per $)
gas,ind,Natural gas extraction
omnf,ind,Other manufacturing sectors
pmt,ind,Primary metals
oil,ref,Petroleum refineries
trn,trn,Transportation
