windc_code,sgf_code,windc_desc
fdd,CORREC,Federal general government (defense)
fen,CORREC,Federal government enterprises
fnd,CORREC,Federal general government (nondefense)
sle,CORREC,State and local government enterprises
slg,CORREC,State and local general government
edu,EDUCAT,Educational services
adm,GOVADM,Administrative and support services
brd,GOVADM,Broadcasting and telecommunications
com,GOVADM,Computer systems design and related services
dat,GOVADM,"Data processing, internet publishing, and other information"
fdd,GOVADM,Federal general government (defense)
fen,GOVADM,Federal government enterprises
fnd,GOVADM,Federal general government (nondefense)
hou,GOVADM,Housing
leg,GOVADM,Legal services
man,GOVADM,Management of companies and enterprises
mov,GOVADM,Motion picture and sound recording industries
ore,GOVADM,Other real estate
pub,GOVADM,"Publishing industries, except internet (includes software)"
rnt,GOVADM,Rental and leasing services and lessors of intangible assets
sle,GOVADM,State and local government enterprises
slg,GOVADM,State and local general government
tsv,GOVADM,"Miscellaneous professional, scientific, and technical services"
wrh,GOVADM,Warehousing and storage
amb,HEALTH,Ambulatory health care services
nrs,HEALTH,Nursing and residential care facilities
air,HGHWAY,Air transportation
con,HGHWAY,Construction
grd,HGHWAY,Transit and ground passenger transportation
otr,HGHWAY,Other transportation and support activities
pip,HGHWAY,Pipeline transportation
trk,HGHWAY,Truck transportation
trn,HGHWAY,Rail transportation
wtt,HGHWAY,Water transportation
hos,HOSPTL,Hospitals
bnk,INTGEN,"Federal Reserve banks, credit intermediation, and related activ"
fin,INTGEN,"Funds, trusts, and other financial vehicles"
ins,INTGEN,Insurance carriers and related activities
sec,INTGEN,"Securities, commodity contracts, and investments"
fbp,LIQEXP,Food and beverage and tobacco products
fbt,LIQEXP,Food and beverage stores
res,LIQEXP,Food services and drinking places
agr,NATRES,Farms
min,NATRES,Coal mining
oil,NATRES,Oil and gas extraction
smn,NATRES,Support activities for mining
cep,OTHUNA,Computer and electronic products
che,OTHUNA,Chemical products
eec,OTHUNA,"Electrical equipment, appliances, and components"
fmt,OTHUNA,Fabricated metal products
fpd,OTHUNA,Furniture and related products
gmt,OTHUNA,General merchandise stores
mch,OTHUNA,Machinery
mmf,OTHUNA,Miscellaneous manufacturing
mot,OTHUNA,"Motor vehicles, bodies and trailers, and parts manufacturing"
mvt,OTHUNA,Motor vehicle and parts dealers
nmp,OTHUNA,Nonmetallic mineral products
osv,OTHUNA,"Other services, except government"
ote,OTHUNA,Other transportation equipment
oth,OTHUNA,Noncomparable imports and rest-of-the-world adjustment
ott,OTHUNA,Other retail
pet,OTHUNA,Petroleum refineries
pla,OTHUNA,Plastics and rubber products
pmt,OTHUNA,Primary metals
use,OTHUNA,"Scrap, used and secondhand goods"
wht,OTHUNA,Wholesale trade
amd,PARKRC,Accommodation
art,PARKRC,"Performing arts, spectator sports, museums, and related activit"
fof,PARKRC,"Forestry, fishing, and related activities"
rec,PARKRC,"Amusements, gambling, and recreation industries"
fdd,POLICE,Federal general government (defense)
fen,POLICE,Federal government enterprises
fnd,POLICE,Federal general government (nondefense)
sle,POLICE,State and local government enterprises
slg,POLICE,State and local general government
alt,PUBWEL,Apparel and leather and allied products
ppd,PUBWEL,Paper products
pri,PUBWEL,Printing and related support activities
soc,PUBWEL,Social assistance
tex,PUBWEL,Textile mills and textile product mills
wpd,PUBWEL,Wood products
wst,PUBWEL,Waste management and remediation services
fdd,UTLEXP,Federal general government (defense)
fen,UTLEXP,Federal government enterprises
fnd,UTLEXP,Federal general government (nondefense)
sle,UTLEXP,State and local government enterprises
slg,UTLEXP,State and local general government
uti,UTLEXP,"Electric power generation, transmission, and distribution"
