state_code,cbsa_code,place_code,cbsa_desc,place_desc,memi,cbsapci
46,10100,00100,"Aberdeen, SD",Aberdeen,2,true
53,10140,00100,"Aberdeen, WA",Aberdeen,2,true
48,10180,01000,"Abilene, TX",Abilene,1,true
40,10220,00200,"Ada, OK",Ada,2,true
26,10300,00440,"Adrian, MI",Adrian,2,true
72,10380,00745,"Aguadilla-Isabela, PR",Aguadilla,1,true
72,10380,36478,"Aguadilla-Isabela, PR",Isabela,1,true
39,10420,01000,"Akron, OH",Akron,1,true
35,10460,01780,"Alamogordo, NM",Alamogordo,2,true
13,10500,01052,"Albany, GA",Albany,1,true
41,10540,01000,"Albany-Lebanon, OR",Albany,1,true
41,10540,41650,"Albany-Lebanon, OR",Lebanon,1,true
36,10580,01000,"Albany-Schenectady-Troy, NY",Albany,1,true
36,10580,65508,"Albany-Schenectady-Troy, NY",Schenectady,1,true
36,10580,75484,"Albany-Schenectady-Troy, NY",Troy,1,true
37,10620,00680,"Albemarle, NC",Albemarle,2,true
27,10660,00694,"Albert Lea, MN",Albert Lea,2,true
01,10700,00988,"Albertville, AL",Albertville,2,true
35,10740,02000,"Albuquerque, NM",Albuquerque,1,true
01,10760,01132,"Alexander City, AL",Alexander City,2,true
22,10780,00975,"Alexandria, LA",Alexandria,1,true
27,10820,00928,"Alexandria, MN",Alexandria,2,true
48,10860,01852,"Alice, TX",Alice,2,true
42,10900,02000,"Allentown-Bethlehem-Easton, PA-NJ",Allentown,1,true
42,10900,06088,"Allentown-Bethlehem-Easton, PA-NJ",Bethlehem,1,true
26,10940,01540,"Alma, MI",Alma,2,true
26,10980,01740,"Alpena, MI",Alpena,2,true
42,11020,02184,"Altoona, PA",Altoona,1,true
40,11060,01700,"Altus, OK",Altus,2,true
48,11100,03000,"Amarillo, TX",Amarillo,1,true
13,11140,02116,"Americus, GA",Americus,2,true
19,11180,01855,"Ames, IA",Ames,1,true
36,11220,02066,"Amsterdam, NY",Amsterdam,2,true
02,11260,03000,"Anchorage, AK",Anchorage,1,true
48,11380,03216,"Andrews, TX",Andrews,2,true
18,11420,01666,"Angola, IN",Angola,2,true
26,11460,03000,"Ann Arbor, MI",Ann Arbor,1,true
01,11500,01852,"Anniston-Oxford, AL",Anniston,1,true
01,11500,57576,"Anniston-Oxford, AL",Oxford,1,true
55,11540,02375,"Appleton, WI",Appleton,1,true
12,11580,01750,"Arcadia, FL",Arcadia,2,true
40,11620,02600,"Ardmore, OK",Ardmore,2,true
72,11640,03368,"Arecibo, PR",Arecibo,1,true
05,11660,01870,"Arkadelphia, AR",Arkadelphia,2,true
37,11700,02140,"Asheville, NC",Asheville,1,true
39,11740,02568,"Ashland, OH",Ashland,2,true
39,11780,02638,"Ashtabula, OH",Ashtabula,2,true
41,11820,03150,"Astoria, OR",Astoria,2,true
20,11860,02900,"Atchison, KS",Atchison,2,true
39,11900,02736,"Athens, OH",Athens,2,true
47,11940,02320,"Athens, TN",Athens,2,true
48,11980,04504,"Athens, TX",Athens,2,true
13,12020,03440,"Athens-Clarke County, GA",Athens-Clarke County unified government (balance),1,true
13,12060,01696,"Atlanta-Sandy Springs-Alpharetta, GA",Alpharetta,1,true
13,12060,04000,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,1,true
13,12060,49756,"Atlanta-Sandy Springs-Alpharetta, GA",Marietta,1,true
13,12060,68516,"Atlanta-Sandy Springs-Alpharetta, GA",Sandy Springs,1,true
34,12100,02080,"Atlantic City-Hammonton, NJ",Atlantic City,1,true
34,12100,29430,"Atlantic City-Hammonton, NJ",Hammonton,1,true
01,12120,03004,"Atmore, AL",Atmore,2,true
18,12140,02674,"Auburn, IN",Auburn,2,true
36,12180,03078,"Auburn, NY",Auburn,2,true
01,12220,03076,"Auburn-Opelika, AL",Auburn,1,true
01,12220,57048,"Auburn-Opelika, AL",Opelika,1,true
13,12260,04204,"Augusta-Richmond County, GA-SC",Augusta-Richmond County consolidated government (balance),1,true
23,12300,02100,"Augusta-Waterville, ME",Augusta,2,true
23,12300,80740,"Augusta-Waterville, ME",Waterville,2,true
27,12380,02908,"Austin, MN",Austin,2,true
48,12420,05000,"Austin-Round Rock-Georgetown, TX",Austin,1,true
48,12420,29336,"Austin-Round Rock-Georgetown, TX",Georgetown,1,true
48,12420,63500,"Austin-Round Rock-Georgetown, TX",Round Rock,1,true
48,12420,65600,"Austin-Round Rock-Georgetown, TX",San Marcos,1,true
13,12460,04896,"Bainbridge, GA",Bainbridge,2,true
06,12540,03526,"Bakersfield, CA",Bakersfield,1,true
24,12580,04000,"Baltimore-Columbia-Towson, MD",Baltimore,1,true
24,12580,19125,"Baltimore-Columbia-Towson, MD",Columbia,1,true
24,12580,78425,"Baltimore-Columbia-Towson, MD",Towson,1,true
23,12620,02795,"Bangor, ME",Bangor,1,true
55,12660,04625,"Baraboo, WI",Baraboo,2,true
21,12680,03628,"Bardstown, KY",Bardstown,2,true
25,12700,03690,"Barnstable Town, MA",Barnstable Town,1,true
50,12740,03175,"Barre, VT",Barre,2,true
40,12780,04450,"Bartlesville, OK",Bartlesville,2,true
36,12860,04715,"Batavia, NY",Batavia,2,true
05,12900,04030,"Batesville, AR",Batesville,2,true
22,12940,05000,"Baton Rouge, LA",Baton Rouge,1,true
26,12980,05920,"Battle Creek, MI",Battle Creek,1,true
26,13020,06020,"Bay City, MI",Bay City,1,true
48,13060,05984,"Bay City, TX",Bay City,2,true
31,13100,03390,"Beatrice, NE",Beatrice,2,true
48,13140,07000,"Beaumont-Port Arthur, TX",Beaumont,1,true
48,13140,58820,"Beaumont-Port Arthur, TX",Port Arthur,1,true
55,13180,05900,"Beaver Dam, WI",Beaver Dam,2,true
54,13220,05332,"Beckley, WV",Beckley,1,true
18,13260,04114,"Bedford, IN",Bedford,2,true
48,13300,07192,"Beeville, TX",Beeville,2,true
39,13340,05130,"Bellefontaine, OH",Bellefontaine,2,true
53,13380,05280,"Bellingham, WA",Bellingham,1,true
27,13420,05068,"Bemidji, MN",Bemidji,2,true
