"yr","r","g","m","Val"
"1997","ak","wht","trd",0.736221546886078
"1997","ak","trk","trn",0.249911388814668
"1997","ak","otr","trn",0.00142107540846055
"1997","ak","air","trn",0.0152877714366551
"1997","ak","pip","trn",0.0522952903552826
"1997","ak","trn","trn",0.000265190715959124
"1997","ak","wtt","trn",0.0223532697154335
"1997","ak","mvt","trd",0.145871413044575
"1997","ak","ott","trd",0.561356456105397
"1997","ak","fbt","trd",0.164296361832568
"1997","ak","gmt","trd",0.135657393609759
"1997","al","wht","trd",2.68390885241263
"1997","al","trk","trn",0.646449184599078
"1997","al","otr","trn",0.00321595048596355
"1997","al","air","trn",0.0345968382031682
"1997","al","pip","trn",0.118346333650137
"1997","al","trn","trn",0.167272554351833
"1997","al","wtt","trn",0.0505863433961593
"1997","al","mvt","trd",0.474488610478183
"1997","al","ott","trd",1.82597288448159
"1997","al","fbt","trd",0.534421041144876
"1997","al","gmt","trd",0.441264582631536
"1997","ar","wht","trd",1.88677864122722
"1997","ar","trk","trn",0.474333008153092
"1997","ar","otr","trn",0.00235970824067873
"1997","ar","air","trn",0.0253854792123718
"1997","ar","pip","trn",0.0868367905498613
"1997","ar","trn","trn",0.122736474540322
"1997","ar","wtt","trn",0.0189408591340338
"1997","ar","mvt","trd",0.333563852196788
"1997","ar","ott","trd",1.28365262285377
"1997","ar","fbt","trd",0.375696143685412
"1997","ar","gmt","trd",0.31020747552243
"1997","az","wht","trd",2.90645504579269
"1997","az","trk","trn",0.576217190357508
"1997","az","otr","trn",0.00286656089526982
"1997","az","air","trn",0.0308381437854958
"1997","az","pip","trn",0.105488866703864
"1997","az","trn","trn",0.149099609975243
"1997","az","wtt","trn",0.00242626159698488
"1997","az","mvt","trd",0.513832582226402
"1997","az","ott","trd",1.97738015536983
"1997","az","fbt","trd",0.578734531247974
"1997","az","gmt","trd",0.477853661671912
"1997","ca","wht","trd",41.6924882475207
"1997","ca","trk","trn",9.69347483701371
"1997","ca","otr","trn",0.0482230248802979
"1997","ca","air","trn",0.518777946592407
"1997","ca","pip","trn",0.997771472038846
"1997","ca","trn","trn",1.41551612417655
"1997","ca","wtt","trn",0.758539817961592
"1997","ca","mvt","trd",7.37082065889125
"1997","ca","ott","trd",28.3651037396839
"1997","ca","fbt","trd",8.30182550988322
"1997","ca","gmt","trd",6.85471058708815
"1997","co","wht","trd",2.90166997706755
"1997","co","trk","trn",0.624023881851573
"1997","co","otr","trn",0.00310438926044596
