windc_code,naics_code,bea_code,gsp_code,sctg_code,windc_detail_code,naics_desc,bea_desc,gsp_desc,sctg_desc
adm,5613,561300,,,emp_adm,Employment services,Employment services,,
adm,5617,561700,,,dwe_adm,Services to buildings and dwellings,Services to buildings and dwellings,,
adm,5611,561100,,,off_adm,Office administrative services,Office administrative services,,
adm,5612,561200,,,fac_adm,Facilities support services,Facilities support services,,
adm,5614,561400,,,bsp_adm,Business support services,Business support services,,
adm,5615,561500,,,trv_adm,Travel arrangement and reservation services,Travel arrangement and reservation services,,
adm,5616,561600,,,inv_adm,Investigation and security services,Investigation and security services,,
adm,5619,561900,,,oss_adm,Other support services,Other support services,,
adm,,561,,,,,Administrative and support services,,
adm,561,,66,,,Administrative and support services,,Administrative and support services,
agr,1111,,,,,Oilseed and grain farming,,,
agr,1112,111200,,,veg_agr,Vegetable and melon farming,Vegetable and melon farming,,
agr,1113,111300,,,nut_agr,Fruit and tree nut farming,Fruit and tree nut farming,,
agr,1114,111400,,,flo_agr,"Greenhouse, nursery, and floriculture production","Greenhouse, nursery, and floriculture production",,
agr,1119,111900,,,oth_agr,Other crop farming,Other crop farming,,
agr,1121,,,,,Cattle ranching and farming,,,
agr,1122,112A00,,,ota_agr,Hog and pig farming,"Animal production, except cattle and poultry and eggs",,
agr,1123,112300,,,egg_agr,Poultry and egg production,Poultry and egg production,,
agr,1124,112A00,,,ota_agr,Sheep and goat farming,"Animal production, except cattle and poultry and eggs",,
agr,1125,112A00,,,ota_agr,Aquaculture,"Animal production, except cattle and poultry and eggs",,
agr,1129,112A00,,,ota_agr,Other animal production,"Animal production, except cattle and poultry and eggs",,
agr,11111,1111A0,,,oil_agr,Soybean farming,Oilseed farming,,
agr,11112,1111A0,,,oil_agr,Oilseed (except soybean) farming,Oilseed farming,,
agr,11113,1111B0,,,grn_agr,Dry pea and bean farming,Grain farming,,
agr,11114,1111B0,,,grn_agr,Wheat farming,Grain farming,,
agr,11115,1111B0,,,grn_agr,Corn farming,Grain farming,,
agr,11116,1111B0,,,grn_agr,Rice farming,Grain farming,,
agr,11119,1111B0,,,grn_agr,Other grain farming,Grain farming,,
