sgf_code,windc_code,sgf_desc,windc_desc
INTFED,,Total Revenue - General Revenue - Intergovernmental Revenue - From Federal,
INTLOC,,Total Revenue - General Revenue - Intergovernmental Revenue - From Local,
UNEMPL,,Total Revenue - Insurance Trust Revenue - Unemployment Compensation Systems,
PENSON,,Total Revenue - Insurance Trust Revenue - State-Administered Pension Systems,
WRKCMP,,Total Revenue - Insurance Trust Revenue - Workers' Compensation Systems,
OTHINS,,Total Revenue - Insurance Trust Revenue - Other Insurance Trust Systems,
,,Total Expenditure - General Expenditure - Intergovernmental General Expenditure,
DIRGEX,,Total Expenditure - General Expenditure - Direct General Expenditure,
,,Insurance Trust Expenditure - Unemployment Compensation Systems,
,,Insurance Trust Expenditure - State-Administered Pension Systems,
,,Insurance Trust Expenditure - Workers' Compensation Systems,
,,Insurance Trust Expenditure - Other Insurance Trust Systems,
