sgf_code,windc_code,sgf_desc,windc_desc
CORREC,fdd,"General Expenditure, by Function: - Correction",Federal general government (defense)
CORREC,fen,"General Expenditure, by Function: - Correction",Federal government enterprises
CORREC,fnd,"General Expenditure, by Function: - Correction",Federal general government (nondefense)
CORREC,sle,"General Expenditure, by Function: - Correction",State and local government enterprises
CORREC,slg,"General Expenditure, by Function: - Correction",State and local general government
EDUCAT,edu,"General Expenditure, by Function: - Education",Educational services
GOVADM,adm,"General Expenditure, by Function: - Governmental Administration",Administrative and support services
GOVADM,brd,"General Expenditure, by Function: - Governmental Administration",Broadcasting and telecommunications
GOVADM,com,"General Expenditure, by Function: - Governmental Administration",Computer systems design and related services
GOVADM,dat,"General Expenditure, by Function: - Governmental Administration","Data processing, internet publishing, and other information"
GOVADM,fdd,"General Expenditure, by Function: - Governmental Administration",Federal general government (defense)
GOVADM,fen,"General Expenditure, by Function: - Governmental Administration",Federal government enterprises
GOVADM,fnd,"General Expenditure, by Function: - Governmental Administration",Federal general government (nondefense)
GOVADM,hou,"General Expenditure, by Function: - Governmental Administration",Housing
GOVADM,leg,"General Expenditure, by Function: - Governmental Administration",Legal services
GOVADM,man,"General Expenditure, by Function: - Governmental Administration",Management of companies and enterprises
GOVADM,mov,"General Expenditure, by Function: - Governmental Administration",Motion picture and sound recording industries
GOVADM,ore,"General Expenditure, by Function: - Governmental Administration",Other real estate
GOVADM,pub,"General Expenditure, by Function: - Governmental Administration","Publishing industries, except internet (includes software)"
GOVADM,rnt,"General Expenditure, by Function: - Governmental Administration",Rental and leasing services and lessors of intangible assets
GOVADM,sle,"General Expenditure, by Function: - Governmental Administration",State and local government enterprises
GOVADM,slg,"General Expenditure, by Function: - Governmental Administration",State and local general government
GOVADM,tsv,"General Expenditure, by Function: - Governmental Administration","Miscellaneous professional, scientific, and technical services"
GOVADM,wrh,"General Expenditure, by Function: - Governmental Administration",Warehousing and storage
HEALTH,amb,"General Expenditure, by Function: - Health",Ambulatory health care services
HEALTH,nrs,"General Expenditure, by Function: - Health",Nursing and residential care facilities
HGHWAY,air,"General Expenditure, by Function: - Highways",Air transportation
HGHWAY,con,"General Expenditure, by Function: - Highways",Construction
HGHWAY,grd,"General Expenditure, by Function: - Highways",Transit and ground passenger transportation
HGHWAY,otr,"General Expenditure, by Function: - Highways",Other transportation and support activities
HGHWAY,pip,"General Expenditure, by Function: - Highways",Pipeline transportation
HGHWAY,trk,"General Expenditure, by Function: - Highways",Truck transportation
HGHWAY,trn,"General Expenditure, by Function: - Highways",Rail transportation
HGHWAY,wtt,"General Expenditure, by Function: - Highways",Water transportation
HOSPTL,hos,"General Expenditure, by Function: - Hospitals",Hospitals
INTGEN,bnk,"General Expenditure, by Function: - Interest on General Debt","Federal Reserve banks, credit intermediation, and related activ"
INTGEN,fin,"General Expenditure, by Function: - Interest on General Debt","Funds, trusts, and other financial vehicles"
INTGEN,ins,"General Expenditure, by Function: - Interest on General Debt",Insurance carriers and related activities
INTGEN,sec,"General Expenditure, by Function: - Interest on General Debt","Securities, commodity contracts, and investments"
LIQEXP,fbp,Liquor Stores Expenditure,Food and beverage and tobacco products
LIQEXP,fbt,Liquor Stores Expenditure,Food and beverage stores
LIQEXP,res,Liquor Stores Expenditure,Food services and drinking places
NATRES,agr,"General Expenditure, by Function: - Natural Resources",Farms
NATRES,min,"General Expenditure, by Function: - Natural Resources",Coal mining
NATRES,oil,"General Expenditure, by Function: - Natural Resources",Oil and gas extraction
NATRES,smn,"General Expenditure, by Function: - Natural Resources",Support activities for mining
OTHUNA,cep,"General Expenditure, by Function: - Other and Unallocable",Computer and electronic products
OTHUNA,che,"General Expenditure, by Function: - Other and Unallocable",Chemical products
OTHUNA,eec,"General Expenditure, by Function: - Other and Unallocable","Electrical equipment, appliances, and components"
OTHUNA,fmt,"General Expenditure, by Function: - Other and Unallocable",Fabricated metal products
OTHUNA,fpd,"General Expenditure, by Function: - Other and Unallocable",Furniture and related products
OTHUNA,gmt,"General Expenditure, by Function: - Other and Unallocable",General merchandise stores
OTHUNA,mch,"General Expenditure, by Function: - Other and Unallocable",Machinery
OTHUNA,mmf,"General Expenditure, by Function: - Other and Unallocable",Miscellaneous manufacturing
OTHUNA,mot,"General Expenditure, by Function: - Other and Unallocable","Motor vehicles, bodies and trailers, and parts manufacturing"
OTHUNA,mvt,"General Expenditure, by Function: - Other and Unallocable",Motor vehicle and parts dealers
OTHUNA,nmp,"General Expenditure, by Function: - Other and Unallocable",Nonmetallic mineral products
OTHUNA,osv,"General Expenditure, by Function: - Other and Unallocable","Other services, except government"
OTHUNA,ote,"General Expenditure, by Function: - Other and Unallocable",Other transportation equipment
OTHUNA,oth,"General Expenditure, by Function: - Other and Unallocable",Noncomparable imports and rest-of-the-world adjustment
OTHUNA,ott,"General Expenditure, by Function: - Other and Unallocable",Other retail
OTHUNA,pet,"General Expenditure, by Function: - Other and Unallocable",Petroleum refineries
OTHUNA,pla,"General Expenditure, by Function: - Other and Unallocable",Plastics and rubber products
OTHUNA,pmt,"General Expenditure, by Function: - Other and Unallocable",Primary metals
OTHUNA,use,"General Expenditure, by Function: - Other and Unallocable","Scrap, used and secondhand goods"
OTHUNA,wht,"General Expenditure, by Function: - Other and Unallocable",Wholesale trade
PARKRC,amd,"General Expenditure, by Function: - Parks and Recreation",Accommodation
PARKRC,art,"General Expenditure, by Function: - Parks and Recreation","Performing arts, spectator sports, museums, and related activit"
PARKRC,fof,"General Expenditure, by Function: - Parks and Recreation","Forestry, fishing, and related activities"
PARKRC,rec,"General Expenditure, by Function: - Parks and Recreation","Amusements, gambling, and recreation industries"
POLICE,fdd,"General Expenditure, by Function: - Police Protection",Federal general government (defense)
POLICE,fen,"General Expenditure, by Function: - Police Protection",Federal government enterprises
POLICE,fnd,"General Expenditure, by Function: - Police Protection",Federal general government (nondefense)
POLICE,sle,"General Expenditure, by Function: - Police Protection",State and local government enterprises
POLICE,slg,"General Expenditure, by Function: - Police Protection",State and local general government
PUBWEL,alt,"General Expenditure, by Function: - Public Welfare",Apparel and leather and allied products
PUBWEL,ppd,"General Expenditure, by Function: - Public Welfare",Paper products
PUBWEL,pri,"General Expenditure, by Function: - Public Welfare",Printing and related support activities
PUBWEL,soc,"General Expenditure, by Function: - Public Welfare",Social assistance
PUBWEL,tex,"General Expenditure, by Function: - Public Welfare",Textile mills and textile product mills
PUBWEL,wpd,"General Expenditure, by Function: - Public Welfare",Wood products
PUBWEL,wst,"General Expenditure, by Function: - Public Welfare",Waste management and remediation services
UTLEXP,fdd,Utility Expenditure,Federal general government (defense)
UTLEXP,fen,Utility Expenditure,Federal government enterprises
UTLEXP,fnd,Utility Expenditure,Federal general government (nondefense)
UTLEXP,sle,Utility Expenditure,State and local government enterprises
UTLEXP,slg,Utility Expenditure,State and local general government
UTLEXP,uti,Utility Expenditure,"Electric power generation, transmission, and distribution"
,,Population,
TOTREV,,Total Revenue,
GENREV,,Total Revenue - General Revenue,
INTREV,,Total Revenue - General Revenue - Intergovernmental Revenue,
TAXREV,,Total Revenue - General Revenue - Total Taxes,
GSALES,,Total Revenue - General Revenue - Total Taxes - General Sales and Gross Receipts Taxes,
SSALES,,Total Revenue - General Revenue - Total Taxes - Selective Sales and Gross Receipts Taxes,
LICTAX,,Total Revenue - General Revenue - Total Taxes - License Taxes,
INDTAX,,Total Revenue - General Revenue - Total Taxes - Individual Income Taxes,
CORTAX,,Total Revenue - General Revenue - Total Taxes - Corporation Net Income Taxes,
OTHTAX,,Total Revenue - General Revenue - Total Taxes - All Other Taxes,
CURCHG,,Total Revenue - General Revenue - Current Charges,
MSCREV,,Total Revenue - General Revenue - Miscellaneous General Revenue,
UTLREV,,Total Revenue - Utility Revenue,
LIQREV,,Total Revenue - Liquor Stores Revenue,
INSREV,,Total Revenue - Insurance Trust Revenue,
TOTEXP,,Total Expenditure,
INTEXP,,Total Expenditure - Intergovernmental Expenditure,
DIREXP,,Total Expenditure - Direct Expenditure,
CUROPR,,Total Expenditure - Direct Expenditure - Current Operations,
CAPOUT,,Total Expenditure - Direct Expenditure - Capital Outlay,
INSBEN,,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments,
SUBSID,,Total Expenditure - Direct Expenditure - Assistance and Subsidies,
INTRST,,Total Expenditure - Direct Expenditure - Interest on Debt,
SALARY,,Total Expenditure - Exhibit: Salaries and Wages,
GENEXP,,Total Expenditure - General Expenditure,
,,"General Expenditure, by Function:",
INSEXP,,Insurance Trust Expenditure,
DEBTFY,,"Debt Outstanding, Long Term and Short Term",
CASHSH,,Cash and Security Holdings,
,,Personal income,
