std_state,r
AL,ESC
AK,PAC
AZ,MTN
AR,WSC
CA,PAC
CO,MTN
CT,NEG
DE,SAC
DC,SAC
FL,SAC
GA,SAC
HI,PAC
ID,MTN
IL,ENC
IN,ENC
IA,WNC
KS,WNC
KY,ESC
LA,WSC
ME,NEG
MD,SAC
MA,NEG
MI,ENC
MN,WNC
MS,ESC
MO,WNC
MT,MTN
NE,WNC
NV,MTN
NH,NEG
NJ,MID
NM,MTN
NY,MID
NC,SAC
ND,WNC
OH,ENC
OK,WSC
OR,PAC
PA,MID
RI,NEG
SC,SAC
SD,WNC
TN,ESC
TX,WSC
UT,MTN
VT,NEG
VA,SAC
WA,PAC
WV,SAC
WI,ENC
WY,MTN
