from,full_desc,source,source_desc,sector,sector_desc,units_abbv,units
ABICB,aviation gasoline blending components consumed by the industrial sector,AB,aviation gasoline blending components,IC,industrial sector,B,billion btu
ABICP,aviation gasoline blending components consumed by the industrial sector,AB,aviation gasoline blending components,IC,industrial sector,P,thousand barrels
ARICB,asphalt and road oil consumed by the industrial sector,AR,asphalt and road oil,IC,industrial sector,B,billion btu
ARICD,asphalt and road oil price in the industrial sector,AR,asphalt and road oil,IC,industrial sector,D,dollars per million btu
ARICP,asphalt and road oil consumed by the industrial sector,AR,asphalt and road oil,IC,industrial sector,P,thousand barrels
ARICV,asphalt and road oil expenditures in the industrial sector,AR,asphalt and road oil,IC,industrial sector,V,million dollars
ARTCB,asphalt and road oil total consumption,AR,asphalt and road oil,TC,total consumption,B,billion btu
ARTCD,"asphalt and road oil average price, all sectors",AR,asphalt and road oil,TC,total consumption,D,dollars per million btu
ARTCP,asphalt and road oil total consumption,AR,asphalt and road oil,TC,total consumption,P,thousand barrels
ARTCV,asphalt and road oil total expenditures,AR,asphalt and road oil,TC,total consumption,V,million dollars
ARTXB,asphalt and road oil total end-use consumption,AR,asphalt and road oil,TX,all end-use sectors,B,billion btu
ARTXD,"asphalt and road oil average price, all end-use sectors",AR,asphalt and road oil,TX,all end-use sectors,D,dollars per million btu
ARTXP,asphalt and road oil total end-use consumption,AR,asphalt and road oil,TX,all end-use sectors,P,thousand barrels
ARTXV,asphalt and road oil total end-use expenditures,AR,asphalt and road oil,TX,all end-use sectors,V,million dollars
AVACB,aviation gasoline consumed by the transportation sector,AV,aviation gasoline,AC,transportation sector,B,billion btu
AVACD,aviation gasoline price in the transportation sector,AV,aviation gasoline,AC,transportation sector,D,dollars per million btu
AVACP,aviation gasoline consumed by the transportation sector,AV,aviation gasoline,AC,transportation sector,P,thousand barrels
AVACV,aviation gasoline expenditures in the transportation sector,AV,aviation gasoline,AC,transportation sector,V,million dollars
AVTCB,aviation gasoline total consumption,AV,aviation gasoline,TC,total consumption,B,billion btu
AVTCD,"aviation gasoline average price, all sectors",AV,aviation gasoline,TC,total consumption,D,dollars per million btu
AVTCP,aviation gasoline total consumption,AV,aviation gasoline,TC,total consumption,P,thousand barrels
AVTCV,aviation gasoline total expenditures,AV,aviation gasoline,TC,total consumption,V,million dollars
AVTXB,aviation gasoline total end-use consumption,AV,aviation gasoline,TX,all end-use sectors,B,billion btu
AVTXD,"aviation gasoline average price, all end-use sectors",AV,aviation gasoline,TX,all end-use sectors,D,dollars per million btu
AVTXP,aviation gasoline total end-use consumption,AV,aviation gasoline,TX,all end-use sectors,P,thousand barrels
AVTXV,aviation gasoline total end-use expenditures,AV,aviation gasoline,TX,all end-use sectors,V,million dollars
BMTCB,biomass total consumption,BM,biomass,TC,total consumption,B,billion btu
BQICB,normal butane consumed by the industrial sector,BQ,normal butane,IC,industrial sector,B,billion btu
BQICP,normal butane consumed by the industrial sector,BQ,normal butane,IC,industrial sector,P,thousand barrels
BQTCB,normal butane total consumption,BQ,normal butane,TC,total consumption,B,billion btu
BQTCP,normal butane total consumption,BQ,normal butane,TC,total consumption,P,thousand barrels
BYICB,butylene from refineries consumed by the industrial sector,BY,butylene from refineries ,IC,industrial sector,B,billion btu
BYICP,butylene from refineries consumed by the industrial sector,BY,butylene from refineries ,IC,industrial sector,P,thousand barrels
BYTCB,butylene from refineries total consumption,BY,butylene from refineries ,TC,total consumption,B,billion btu
BYTCP,butylene from refineries total consumption,BY,butylene from refineries ,TC,total consumption,P,thousand barrels
CCEXB,coal coke exported from the united states ,CC,coal coke ,EX,exported from the united states,B,billion btu
CCEXD,"coal coke exports average price, united states",CC,coal coke ,EX,exported from the united states,D,dollars per million btu
CCEXP,coal coke exported from the united states ,CC,coal coke ,EX,exported from the united states,P,thousand short tons
CCEXV,"coal coke exports expenditures, united states",CC,coal coke ,EX,exported from the united states,V,million dollars
CCIMB,coal coke imported into the united states,CC,coal coke ,IM,imported into the united states,B,billion btu
CCIMD,"coal coke imports average price, united states",CC,coal coke ,IM,imported into the united states,D,dollars per million btu
CCIMP,coal coke imported into the united states,CC,coal coke ,IM,imported into the united states,P,thousand short tons
CCIMV,"coal coke imports expenditures, united states",CC,coal coke ,IM,imported into the united states,V,million dollars
