from,full_desc,source,source_desc,sector,sector_desc,units_abbv,units
CCNIB,coal coke net imports into the united states,CC,coal coke ,NI,net imports expenditures,B,billion btu
CCNIP,coal coke net imports into the united states,CC,coal coke ,NI,net imports expenditures,P,thousand short tons
CCNIV,"coal coke net imports expenditures, united states",CC,coal coke ,NI,net imports expenditures,V,million dollars
CLACB,coal consumed by the transportation sector,CL,coal,AC,transportation sector,B,billion btu
CLACD,coal price in the transportation sector,CL,coal,AC,transportation sector,D,dollars per million btu
CLACK,factor for converting coal consumed by the transportation sector from physical units to btu,CL,coal,AC,transportation sector,K,million btu per short ton
CLACP,coal consumed by the transportation sector,CL,coal,AC,transportation sector,P,thousand short tons
CLACV,coal expenditures in the transportation sector,CL,coal,AC,transportation sector,V,million dollars
CLCCB,coal consumed by the commercial sector,CL,coal,CC,commercial sector,B,billion btu
CLCCD,coal price in the commercial sector,CL,coal,CC,commercial sector,D,dollars per million btu
CLCCP,coal consumed by the commercial sector,CL,coal,CC,commercial sector,P,thousand short tons
CLCCV,coal expenditures in the commercial sector,CL,coal,CC,commercial sector,V,million dollars
CLEIB,coal consumed by the electric power sector,CL,coal,EI,electric power sector,B,billion btu
CLEID,coal price in the electric power sector,CL,coal,EI,electric power sector,D,dollars per million btu
CLEIK,factor for converting coal consumed by the electric power sector from physical units to btu,CL,coal,EI,electric power sector,K,million btu per short ton
CLEIP,coal consumed by the electric power sector,CL,coal,EI,electric power sector,P,thousand short tons
CLEIV,coal expenditures in the electric power sector,CL,coal,EI,electric power sector,V,million dollars
CLHCK,factor for converting coal consumed by the residential and commercial sectors from physical units to btu,CL,coal,HC,factor for converting coal consumed by the residential and commercial sectors physical units to btu,K,million btu per short ton
CLICB,coal consumed by the industrial sector,CL,coal,IC,industrial sector,B,billion btu
CLICD,coal price in the industrial sector,CL,coal,IC,industrial sector,D,dollars per million btu
CLICP,coal consumed by the industrial sector,CL,coal,IC,industrial sector,P,thousand short tons
CLICV,coal expenditures in the industrial sector,CL,coal,IC,industrial sector,V,million dollars
CLISB,coal consumed by the industrial sector excluding refinery fuel,CL,coal,IS,industrial sector excluding refinery fuel,B,billion btu
CLKCB,coal consumed at coke plants (coking coal),CL,coal,KC,coke plants (coking coal),B,billion btu
CLKCD,coal price at coke plants,CL,coal,KC,coke plants (coking coal),D,dollars per million btu
CLKCK,factor for converting coal consumed at coke plants from physical units to btu,CL,coal,KC,coke plants (coking coal),K,million btu per short ton
CLKCP,coal consumed at coke plants (coking coal),CL,coal,KC,coke plants (coking coal),P,thousand short tons
CLKCV,coal expenditures at coke plants,CL,coal,KC,coke plants (coking coal),V,million dollars
CLOCB,coal consumed by industrial users other than coke plants,CL,coal,OC,industrial users other than coke plants,B,billion btu
CLOCD,coal price in the industrial sector other than coke plants,CL,coal,OC,industrial users other than coke plants,D,dollars per million btu
CLOCK,factor for converting coal consumed by industrial users other than coke plants from physical units to btu,CL,coal,OC,industrial users other than coke plants,K,million btu per short ton
CLOCP,coal consumed by industrial users other than coke plants,CL,coal,OC,industrial users other than coke plants,P,thousand short tons
CLOCV,coal expenditures in the industrial sector other than coke plants,CL,coal,OC,industrial users other than coke plants,V,million dollars
CLOSB,coal consumed by the industrial sector other than coke plants excluding refinery fuel,CL,coal,OS,industrial sector excluding refinery fuel,B,billion btu
CLPRB,coal production,CL,coal,PR,production,B,billion btu
CLPRK,factor for converting coal production from physical units to btu,CL,coal,PR,production,K,million btu per short ton
CLPRP,coal production,CL,coal,PR,production,P,thousand short tons
CLRCB,coal consumed by the residential sector,CL,coal,RC,residential sector,B,billion btu
CLRCD,coal price in the residential sector,CL,coal,RC,residential sector,D,dollars per million btu
CLRCP,coal consumed by the residential sector,CL,coal,RC,residential sector,P,thousand short tons
CLRCV,coal expenditures in the residential sector,CL,coal,RC,residential sector,V,million dollars
CLRFB,coal consumed as refinery fuel,CL,coal,RF,refinery fuel,B,billion btu
CLSCB,coal total consumption adjusted for process fuel,CL,coal,SC,total primary energy and electricity consumed,B,billion btu
CLTCB,coal total consumption,CL,coal,TC,total consumption,B,billion btu
CLTCD,"coal average price, all sectors",CL,coal,TC,total consumption,D,dollars per million btu
CLTCP,coal total consumption,CL,coal,TC,total consumption,P,thousand short tons
CLTCV,coal total expenditures,CL,coal,TC,total consumption,V,million dollars
CLTXB,coal total end-use consumption,CL,coal,TX,all end-use sectors,B,billion btu
CLTXD,"coal average price, all end-use sectors",CL,coal,TX,all end-use sectors,D,dollars per million btu
CLTXP,coal total end-use consumption,CL,coal,TX,all end-use sectors,P,thousand barrels
CLTXV,coal total end-use expenditures,CL,coal,TX,all end-use sectors,V,million dollars
COICB,crude oil consumed by the industrial sector,CO,crude oil,IC,industrial sector,B,billion btu
COICP,crude oil consumed by the industrial sector,CO,crude oil,IC,industrial sector,P,thousand barrels
COPRK,factor for converting crude oil production from physical units to btu,CO,crude oil,PR,production,K,million btu per barrel
DFACB,distillate fuel oil consumed by the transportation sector,DF,distillate fuel oil,AC,transportation sector,B,billion btu
DFACD,distillate fuel oil price in the transportation sector,DF,distillate fuel oil,AC,transportation sector,D,dollars per million btu
DFACP,distillate fuel oil consumed by the transportation sector,DF,distillate fuel oil,AC,transportation sector,P,thousand barrels
DFACV,distillate fuel oil expenditures in the transportation sector,DF,distillate fuel oil,AC,transportation sector,V,million dollars
DFCCB,distillate fuel oil consumed by the commercial sector,DF,distillate fuel oil,CC,commercial sector,B,billion btu
DFCCD,distillate fuel oil price in the commercial sector,DF,distillate fuel oil,CC,commercial sector,D,dollars per million btu
DFCCP,distillate fuel oil consumed by the commercial sector,DF,distillate fuel oil,CC,commercial sector,P,thousand barrels
DFCCV,distillate fuel oil expenditures in the commercial sector,DF,distillate fuel oil,CC,commercial sector,V,million dollars
DFEIB,distillate fuel oil consumed by the electric power sector,DF,distillate fuel oil,EI,electric power sector,B,billion btu
DFEID,distillate fuel oil price in the electric power sector,DF,distillate fuel oil,EI,electric power sector,D,dollars per million btu
DFEIP,distillate fuel oil consumed by the electric power sector,DF,distillate fuel oil,EI,electric power sector,P,thousand barrels
DFEIV,distillate fuel oil expenditures in the electric power sector,DF,distillate fuel oil,EI,electric power sector,V,million dollars
DFICB,distillate fuel oil consumed by the industrial sector,DF,distillate fuel oil,IC,industrial sector,B,billion btu
DFICD,distillate fuel oil price in the industrial sector,DF,distillate fuel oil,IC,industrial sector,D,dollars per million btu
DFICP,distillate fuel oil consumed by the industrial sector,DF,distillate fuel oil,IC,industrial sector,P,thousand barrels
DFICV,distillate fuel oil expenditures in the industrial sector,DF,distillate fuel oil,IC,industrial sector,V,million dollars
DFISB,distillate fuel oil consumed by the industrial sector excluding refinery fuel,DF,distillate fuel oil,IS,industrial sector excluding refinery fuel,B,billion btu
DFRCB,distillate fuel oil consumed by the residential sector,DF,distillate fuel oil,RC,residential sector,B,billion btu
DFRCD,distillate fuel oil price in the residential sector,DF,distillate fuel oil,RC,residential sector,D,dollars per million btu
DFRCP,distillate fuel oil consumed by the residential sector,DF,distillate fuel oil,RC,residential sector,P,thousand barrels
DFRCV,distillate fuel oil expenditures in the residential sector,DF,distillate fuel oil,RC,residential sector,V,million dollars
DFRFB,distillate fuel oil consumed as refinery fuel,DF,distillate fuel oil,RF,refinery fuel,B,billion btu
DFSCB,distillate fuel oil total consumption adjusted for process fuel,DF,distillate fuel oil,SC,total primary energy and electricity consumed,B,billion btu
DFTCB,distillate fuel oil total consumption,DF,distillate fuel oil,TC,total consumption,B,billion btu
DFTCD,"distillate fuel oil average price, all sectors",DF,distillate fuel oil,TC,total consumption,D,dollars per million btu
DFTCK,"factor converting distillate fuel oil physical units to btu, united states only",DF,distillate fuel oil,TC,total consumption,K,million btu per barrel
DFTCP,distillate fuel oil total consumption,DF,distillate fuel oil,TC,total consumption,P,thousand barrels
DFTCV,distillate fuel oil total expenditures,DF,distillate fuel oil,TC,total consumption,V,million dollars
DFTXB,distillate fuel oil total end-use consumption,DF,distillate fuel oil,TX,all end-use sectors,B,billion btu
DFTXD,"distillate fuel oil average price, all end-use sectors",DF,distillate fuel oil,TX,all end-use sectors,D,dollars per million btu
DFTXP,distillate fuel oil total end-use consumption,DF,distillate fuel oil,TX,all end-use sectors,P,thousand barrels
DFTXV,distillate fuel oil total end-use expenditures,DF,distillate fuel oil,TX,all end-use sectors,V,million dollars
ELEXB,electricity exported from the united states,EL,electricity,EX,exported from the united states,B,billion btu
ELEXD,electricity exports average price,EL,electricity,EX,exported from the united states,D,dollars per million btu
ELEXP,electricity exported from the united states,EL,electricity,EX,exported from the united states,P,million kilowatthours
ELEXV,electricity exports expenditures,EL,electricity,EX,exported from the united states,V,million dollars
ELIMB,electricity imported into the united states,EL,electricity,IM,imported into the united states,B,billion btu
ELIMD,electricity imports average price,EL,electricity,IM,imported into the united states,D,dollars per million btu
ELIMP,electricity imported into the united states,EL,electricity,IM,imported into the united states,P,million kilowatthours
ELIMV,electricity imports expenditures,EL,electricity,IM,imported into the united states,V,million dollars
ELISB,net interstate flow of electricity and associated losses (negative and positive values),EL,electricity,IS,industrial sector excluding refinery fuel,B,billion btu
ELISP,net interstate flow of of electricity,EL,electricity,IS,industrial sector excluding refinery fuel,P,million kilowatthours
ELNIB,net imports of electricity into the united states,EL,electricity,NI,net imports expenditures,B,billion btu
ELNIP,net imports of electricity into the united states,EL,electricity,NI,net imports expenditures,P,million kilowatthours
EMACB,"fuel ethanol, excluding denaturant, consumed by the transportation sector   ",EM,"fuel ethanol, excluding denaturant",AC,transportation sector,B,billion btu
EMACV,"fuel ethanol, excluding denaturant, expenditures in the transportation sector (through 1992)",EM,"fuel ethanol, excluding denaturant",AC,transportation sector,V,million dollars
EMCCB,"fuel ethanol, excluding denaturant, consumed by the commercial sector ",EM,"fuel ethanol, excluding denaturant",CC,commercial sector,B,billion btu
EMCCV,"fuel ethanol, excluding denaturant, expenditures in the commercial sector (through 1992)",EM,"fuel ethanol, excluding denaturant",CC,commercial sector,V,million dollars
EMFDB,biomass inputs (feedstock) for the production of fuel ethanol,EM,"fuel ethanol, excluding denaturant",FD,for the production of fuel ethanol,B,billion btu
EMICB,"fuel ethanol, excluding denaturant, consumed by the industrial sector ",EM,"fuel ethanol, excluding denaturant",IC,industrial sector,B,billion btu
EMICV,"fuel ethanol, excluding denaturant, expenditures in the industrial sector (through 1992)",EM,"fuel ethanol, excluding denaturant",IC,industrial sector,V,million dollars
EMLCB,energy losses and co-products from the production of fuel ethanol,EM,"fuel ethanol, excluding denaturant",LC,production of fuel ethanol,B,billion btu
EMTCB,"fuel ethanol, excluding denaturant, total consumption",EM,"fuel ethanol, excluding denaturant",TC,total consumption,B,billion btu
EMTCV,"fuel ethanol, excluding denaturant, total expenditures (through 1992)",EM,"fuel ethanol, excluding denaturant",TC,total consumption,V,million dollars
ENACP,"fuel ethanol, including denaturant, consumed by the transportation sector",EN,"fuel ethanol, including denaturant",AC,transportation sector,P,thousand barrels
ENCCP,"fuel ethanol, including denaturant, consumed by the commercial sector",EN,"fuel ethanol, including denaturant",CC,commercial sector,P,thousand barrels
ENICP,"fuel ethanol, including denaturant, consumed by the industrial sector",EN,"fuel ethanol, including denaturant",IC,industrial sector,P,thousand barrels
ENPRP,"fuel ethanol production, including denaturant",EN,"fuel ethanol, including denaturant",PR,production,P,thousand barrels
ENTCK,factor for converting fuel ethanol consumption from physical units to btu,EN,"fuel ethanol, including denaturant",TC,total consumption,K,million btu per barrel
ENTCP,"fuel ethanol, including denaturant, total consumption",EN,"fuel ethanol, including denaturant",TC,total consumption,P,thousand barrels
EQICB,ethane consumed by the industrial sector,EQ,ethane,IC,industrial sector,B,billion btu
EQICP,ethane consumed by the industrial sector,EQ,ethane,IC,industrial sector,P,thousand barrels
EQTCB,ethane total consumption,EQ,ethane,TC,total consumption,B,billion btu
EQTCP,ethane total consumption,EQ,ethane,TC,total consumption,P,thousand barrels
ESACB,"electricity consumed by (i.e., sold to) the transportation sector",ES,electricity,AC,transportation sector,B,billion btu
ESACD,electricity price in the transportation sector,ES,electricity,AC,transportation sector,D,dollars per million btu
ESACP,"electricity consumed by (i.e., sold to) the transportation sector",ES,electricity,AC,transportation sector,P,million kilowatthours
ESACV,electricity expenditures in the transportation sector,ES,electricity,AC,transportation sector,V,million dollars
ESCCB,"electricity consumed by (i.e., sold to) the commercial sector",ES,electricity,CC,commercial sector,B,billion btu
ESCCD,electricity price in the commercial sector,ES,electricity,CC,commercial sector,D,dollars per million btu
ESCCP,"electricity consumed by (i.e., sold to) the commercial sector",ES,electricity,CC,commercial sector,P,million kilowatthours
ESCCV,electricity expenditures in the commercial sector,ES,electricity,CC,commercial sector,V,million dollars
ESICB,"electricity consumed by (i.e., sold to) the industrial sector",ES,electricity,IC,industrial sector,B,billion btu
ESICD,electricity price in the industrial sector,ES,electricity,IC,industrial sector,D,dollars per million btu
ESICP,"electricity consumed by (i.e., sold to) the industrial sector",ES,electricity,IC,industrial sector,P,million kilowatthours
ESICV,electricity expenditures in the industrial sector,ES,electricity,IC,industrial sector,V,million dollars
ESISB,electricity sales to the industrial sector excluding refinery use,ES,electricity,IS,industrial sector excluding refinery fuel,B,billion btu
ESRCB,"electricity consumed by (i.e., sold to) the residential sector",ES,electricity,RC,residential sector,B,billion btu
ESRCD,electricity price in the residential sector,ES,electricity,RC,residential sector,D,dollars per million btu
ESRCP,"electricity consumed by (i.e., sold to) the residential sector",ES,electricity,RC,residential sector,P,million kilowatthours
ESRCV,electricity expenditures in the residential sector,ES,electricity,RC,residential sector,V,million dollars
ESRFB,electricity consumed by refineries,ES,electricity,RF,refinery fuel,B,billion btu
ESSCB,electricity total consumption adjusted for process fuel,ES,electricity,SC,total primary energy and electricity consumed,B,billion btu
ESTCB,"electricity total consumption (i.e., retail sales)",ES,electricity,TC,total consumption,B,billion btu
ESTCD,"electricity average price, all sectors",ES,electricity,TC,total consumption,D,dollars per million btu
ESTCP,"electricity total consumption (i.e., retail sales)",ES,electricity,TC,total consumption,P,million kilowatthours
ESTCV,electricity total expenditures,ES,electricity,TC,total consumption,V,million dollars
ESTXB,"electricity total end-use consumption (i.e., retail sales)",ES,electricity,TX,all end-use sectors,B,billion btu
ESTXD,"electricity average price, all end-use sectors",ES,electricity,TX,all end-use sectors,D,dollars per million btu
ESTXP,"electricity total end-use consumption (i.e., retail sales)",ES,electricity,TX,all end-use sectors,P,million kilowatthours
ESTXV,electricity total end-use expenditures,ES,electricity,TX,all end-use sectors,V,million dollars
EYICB,ethylene from refineries consumed by the industrial sector,EY,ethylene from refineries,IC,industrial sector,B,billion btu
EYICP,ethylene from refineries consumed by the industrial sector,EY,ethylene from refineries,IC,industrial sector,P,thousand barrels
EYTCB,ethylene from refineries total consumption,EY,ethylene from refineries,TC,total consumption,B,billion btu
EYTCP,ethylene from refineries total consumption,EY,ethylene from refineries,TC,total consumption,P,thousand barrels
FFETK,"fossil fueled steam-electric power plant conversion factor, united states only",FF,fossil fueled,ET,miscellaneous,K,thousand btu per kilowatthour
FFTCB,fossil fuels total consumption,FF,fossil fueled,TC,total consumption,B,billion btu
FNICB,"petrochemical feedstocks, naphtha, less than 401° f, consumed by the industrial sector",FN,"petrochemical feedstocks, naphtha, less than 401 f",IC,industrial sector,B,billion btu
FNICD,"petrochemical feedstocks, naphtha less than 401° f, price in the industrial sector",FN,"petrochemical feedstocks, naphtha, less than 401 f",IC,industrial sector,D,dollars per million btu
FNICP,"petrochemical feedstocks, naphtha less than 401° f, consumed by the industrial sector",FN,"petrochemical feedstocks, naphtha, less than 401 f",IC,industrial sector,P,thousand barrels
FNICV,"petrochemical feedstocks, naphtha less than 401° f, expenditures in the industrial sector",FN,"petrochemical feedstocks, naphtha, less than 401 f",IC,industrial sector,V,million dollars
FOICB,"petrochemical feedstocks, other oils equal to or greater than 401° f, consumed by the industrial sector",FO,"petrochemical feedstocks, other oils equal to or greater than 401 f",IC,industrial sector,B,billion btu
FOICD,"petrochemical feedstocks, other oils equal to or greater than 401° f, price in the industrial sector",FO,"petrochemical feedstocks, other oils equal to or greater than 401 f",IC,industrial sector,D,dollars per million btu
FOICP,"petrochemical feedstocks, other oils equal to or greater than 401° f, consumed by the industrial sector",FO,"petrochemical feedstocks, other oils equal to or greater than 401 f",IC,industrial sector,P,thousand barrels
FOICV,"petrochemical feedstocks, other oils equal to or greater than 401° f, expenditures in the industrial sector",FO,"petrochemical feedstocks, other oils equal to or greater than 401 f",IC,industrial sector,V,million dollars
FSICB,"petrochemical feedstocks, still gas, consumed by the industrial sector",FS,"petrochemical feedstocks, still gas",IC,industrial sector,B,billion btu
FSICD,"petrochemical feedstocks, still gas, price in the industrial sector",FS,"petrochemical feedstocks, still gas",IC,industrial sector,D,dollars per million btu
FSICP,"petrochemical feedstocks, still gas, consumed by the industrial sector",FS,"petrochemical feedstocks, still gas",IC,industrial sector,P,thousand barrels
FSICV,"petrochemical feedstocks, still gas, expenditures in the industrial sector",FS,"petrochemical feedstocks, still gas",IC,industrial sector,V,million dollars
GDPRV,current-dollar gross domestic product,GD,current-dollar gross domestic product,PR,production,V,million dollars
GDPRX,real gross domestic product,GD,current-dollar gross domestic product,PR,production,X,million chained (2009) dollars
GECCB,geothermal energy consumed by the commercial sector,GE,geothermal energy,CC,commercial sector,B,billion btu
GEEGB,geothermal energy consumed for electricity generation by the electric power sector,GE,geothermal energy,EG,electric power sector,B,billion btu
GEEGP,geothermal electricity net generation in the electric power sector,GE,geothermal energy,EG,electric power sector,P,million kilowatthours
GEICB,geothermal energy consumed by the industrial sector,GE,geothermal energy,IC,industrial sector,B,billion btu
GERCB,geothermal energy consumed by the residential sector,GE,geothermal energy,RC,residential sector,B,billion btu
GETCB,geothermal energy total consumption,GE,geothermal energy,TC,total consumption,B,billion btu
GETXB,geothermal energy total end-use consumption,GE,geothermal energy,TX,all end-use sectors,B,billion btu
HLACB,hydrocarbon gas liquids consumed by the transportation sector,HL,hydrocarbon gas liquids,AC,transportation sector,B,billion btu
HLACD,hydrocarbon gas liquids price in the transportation sector,HL,hydrocarbon gas liquids,AC,transportation sector,D,dollars per million btu
HLACP,hydrocarbon gas liquids consumed by the transportation sector,HL,hydrocarbon gas liquids,AC,transportation sector,P,thousand barrels
HLACV,hydrocarbon gas liquids expenditures in the transportation sector,HL,hydrocarbon gas liquids,AC,transportation sector,V,million dollars
HLCCB,hydrocarbon gas liquids consumed by the commercial sector,HL,hydrocarbon gas liquids,CC,commercial sector,B,billion btu
HLCCD,hydrocarbon gas liquids price in the commercial sector,HL,hydrocarbon gas liquids,CC,commercial sector,D,dollars per million btu
HLCCP,hydrocarbon gas liquids consumed by the commercial sector,HL,hydrocarbon gas liquids,CC,commercial sector,P,thousand barrels
HLCCV,hydrocarbon gas liquids expenditures in the commercial sector,HL,hydrocarbon gas liquids,CC,commercial sector,V,million dollars
HLICB,hydrocarbon gas liquids consumed by the industrial sector,HL,hydrocarbon gas liquids,IC,industrial sector,B,billion btu
HLICD,hydrocarbon gas liquids price in the industrial sector,HL,hydrocarbon gas liquids,IC,industrial sector,D,dollars per million btu
HLICK,average conversion factor for industrial consumption of hydrocarbon gas liquids,HL,hydrocarbon gas liquids,IC,industrial sector,K,million btu per barrel
HLICP,hydrocarbon gas liquids consumed by the industrial sector,HL,hydrocarbon gas liquids,IC,industrial sector,P,thousand barrels
HLICV,hydrocarbon gas liquids expenditures in the industrial sector,HL,hydrocarbon gas liquids,IC,industrial sector,V,million dollars
HLISB,hydrocarbon gas liquids consumed by the industrial sector adjusted for processed fuel,HL,hydrocarbon gas liquids,IS,industrial sector excluding refinery fuel,B,billion btu
HLRCB,hydrocarbon gas liquids consumed by the residential sector,HL,hydrocarbon gas liquids,RC,residential sector,B,billion btu
HLRCD,hydrocarbon gas liquids price in the residential sector,HL,hydrocarbon gas liquids,RC,residential sector,D,dollars per million btu
HLRCP,hydrocarbon gas liquids consumed by the residential sector,HL,hydrocarbon gas liquids,RC,residential sector,P,thousand barrels
HLRCV,hydrocarbon gas liquids expenditures in the residential sector,HL,hydrocarbon gas liquids,RC,residential sector,V,million dollars
HLRFB,hydrocarbon gas liquids consumed as refinery fuel and intermediate products,HL,hydrocarbon gas liquids,RF,refinery fuel,B,billion btu
HLSCB,hydrocarbon gas liquids total consumption adjusted for processed fuel,HL,hydrocarbon gas liquids,SC,total primary energy and electricity consumed,B,billion btu
HLTCB,hydrocarbon gas liquids total consumption,HL,hydrocarbon gas liquids,TC,total consumption,B,billion btu
HLTCD,"hydrocarbon gas liquids average price, all sectors",HL,hydrocarbon gas liquids,TC,total consumption,D,dollars per million btu
HLTCK,factor for converting hydrocarbon gas liquids physical units to btu,HL,hydrocarbon gas liquids,TC,total consumption,K,million btu per barrel
HLTCP,hydrocarbon gas liquids total consumption,HL,hydrocarbon gas liquids,TC,total consumption,P,thousand barrels
HLTCV,hydrocarbon gas liquids total expenditures,HL,hydrocarbon gas liquids,TC,total consumption,V,million dollars
HLTXB,hydrocarbon gas liquids total end-use consumption,HL,hydrocarbon gas liquids,TX,all end-use sectors,B,billion btu
HLTXD,"hydrocarbon gas liquids average price, all end-use sectors",HL,hydrocarbon gas liquids,TX,all end-use sectors,D,dollars per million btu
HLTXP,hydrocarbon gas liquids total end-use consumption,HL,hydrocarbon gas liquids,TX,all end-use sectors,P,thousand barrels
HLTXV,hydrocarbon gas liquids total end-use expenditures,HL,hydrocarbon gas liquids,TX,all end-use sectors,V,million dollars
HYCCB,hydropower consumed by the commercial sector,HY,hydropower,CC,commercial sector,B,billion btu
HYCCP,hydroelectricity net generation in the commercial sector,HY,hydropower,CC,commercial sector,P,million kilowatthours
HYEGB,hydropower consumed for electricity generation by the electric power sector,HY,hydropower,EG,electric power sector,B,billion btu
HYEGP,hydroelectricity net generation in the electric power sector,HY,hydropower,EG,electric power sector,P,million kilowatthours
HYICB,hydropower consumed by the industrial sector,HY,hydropower,IC,industrial sector,B,billion btu
HYICP,hydroelectricity net generation in the industrial sector,HY,hydropower,IC,industrial sector,P,million kilowatthours
HYTCB,hydropower total consumption,HY,hydropower,TC,total consumption,B,billion btu
HYTCP,hydroelectricity total net generation,HY,hydropower,TC,total consumption,P,million kilowatthours
HYTXB,hydropower total end-use consumption,HY,hydropower,TX,all end-use sectors,B,billion btu
HYTXP,hydroelectricity net generation total end-use sectors,HY,hydropower,TX,all end-use sectors,P,million kilowatthours
IQICB,isobutane consumed by the industrial sector,IQ,isobutane,IC,industrial sector,B,billion btu
IQICP,isobutane consumed by the industrial sector,IQ,isobutane,IC,industrial sector,P,thousand barrels
IQTCB,isobutane total consumption,IQ,isobutane,TC,total consumption,B,billion btu
IQTCP,isobutane total consumption,IQ,isobutane,TC,total consumption,P,thousand barrels
IYICB,isobutylene from refineries consumed by the industrial sector,IY,isobutylene from refineries,IC,industrial sector,B,billion btu
IYICP,isobutylene from refineries consumed by the industrial sector,IY,isobutylene from refineries,IC,industrial sector,P,thousand barrels
IYTCB,isobutylene from refineries total consumption,IY,isobutylene from refineries,TC,total consumption,B,billion btu
IYTCP,isobutylene from refineries total consumption,IY,isobutylene from refineries,TC,total consumption,P,thousand barrels
JFACB,jet fuel consumed by the transportation sector,JF,jet fuel,AC,transportation sector,B,billion btu
JFACD,jet fuel price in the transportation sector,JF,jet fuel,AC,transportation sector,D,dollars per million btu
JFACP,jet fuel consumed by the transportation sector,JF,jet fuel,AC,transportation sector,P,thousand barrels
JFACV,jet fuel expenditures in the transportation sector,JF,jet fuel,AC,transportation sector,V,million dollars
