state,ma_code,ma_desc,code,desc,type
ga,122,"Atlanta-Athens-Clarke County-Sandy Springs, GA",13-122,"Atlanta-Athens-Clarke County-Sandy Springs, GA",C
al,142,"Birmingham-Hoover-Talladega, AL",01-142,"Birmingham-Hoover-Talladega, AL",C
ma,148,"Boston-Worcester-Providence, MA-RI-NH-CT",25-148,"Boston-Worcester-Providence, MA-RI-NH-CT (MA Part)",C
nh,148,"Boston-Worcester-Providence, MA-RI-NH-CT",33-148,"Boston-Worcester-Providence, MA-RI-NH-CT (NH Part)",C
ri,148,"Boston-Worcester-Providence, MA-RI-NH-CT",44-148,"Boston-Worcester-Providence, MA-RI-NH-CT (RI Part)",C
ny,160,"Buffalo-Cheektowaga, NY",36-160,"Buffalo-Cheektowaga, NY",C
nc,172,"Charlotte-Concord, NC-SC",37-172,"Charlotte-Concord, NC-SC (NC Part)",C
il,176,"Chicago-Naperville, IL-IN-WI",17-176,"Chicago-Naperville, IL-IN-WI (IL Part)",C
in,176,"Chicago-Naperville, IL-IN-WI",18-176,"Chicago-Naperville, IL-IN-WI (IN Part)",C
ky,178,"Cincinnati-Wilmington-Maysville, OH-KY-IN",21-178,"Cincinnati-Wilmington-Maysville, OH-KY-IN (KY Part)",C
oh,178,"Cincinnati-Wilmington-Maysville, OH-KY-IN",39-178,"Cincinnati-Wilmington-Maysville, OH-KY-IN (OH Part)",C
oh,184,"Cleveland-Akron-Canton, OH",39-184,"Cleveland-Akron-Canton, OH",C
oh,198,"Columbus-Marion-Zanesville, OH",39-198,"Columbus-Marion-Zanesville, OH",C
tx,204,"Corpus Christi-Kingsville-Alice, TX",48-204,"Corpus Christi-Kingsville-Alice, TX",C
tx,206,"Dallas-Fort Worth, TX-OK",48-206,"Dallas-Fort Worth, TX-OK (TX Part)",C
oh,212,"Dayton-Springfield-Sidney, OH",39-212,"Dayton-Springfield-Sidney, OH",C
co,216,"Denver-Aurora, CO",08-216,"Denver-Aurora, CO",C
mi,220,"Detroit-Warren-Ann Arbor, MI",26-220,"Detroit-Warren-Ann Arbor, MI",C
tx,238,"El Paso-Las Cruces, TX-NM",48-238,"El Paso-Las Cruces, TX-NM (TX Part)",C
in,258,"Fort Wayne-Huntington-Auburn, IN",18-258,"Fort Wayne-Huntington-Auburn, IN",C
ca,260,"Fresno-Madera, CA",06-260,"Fresno-Madera, CA",C
mi,266,"Grand Rapids-Wyoming-Muskegon, MI",26-266,"Grand Rapids-Wyoming-Muskegon, MI",C
nc,268,"Greensboro--Winston-Salem--High Point, NC",37-268,"Greensboro--Winston-Salem--High Point, NC",C
sc,273,"Greenville-Spartanburg-Anderson, SC",45-273,"Greenville-Spartanburg-Anderson, SC",C
tx,288,"Houston-The Woodlands, TX",48-288,"Houston-The Woodlands, TX",C
in,294,"Indianapolis-Carmel-Muncie, IN",18-294,"Indianapolis-Carmel-Muncie, IN",C
fl,300,"Jacksonville-St. Marys-Palatka, FL-GA",12-300,"Jacksonville-St. Marys-Palatka, FL-GA (FL Part)",C
ks,312,"Kansas City-Overland Park-Kansas City, MO-KS",20-312,"Kansas City-Overland Park-Kansas City, MO-KS (KS Part)",C
mo,312,"Kansas City-Overland Park-Kansas City, MO-KS",29-312,"Kansas City-Overland Park-Kansas City, MO-KS (MO Part)",C
