from,to
coal,col
natgas,gas
petrol,oil
ind,ind
com,com
res,res
elec,ele
trans,trn
petroleum,oil
nat_gas,gas
nuclear,nu
hydro,hy
geothermal,ge
solar,so
wind,wy
