code,desc,sect,aggr,category
1111A0,Oilseed farming,oil_agr,agr,goods
1111B0,Grain farming,grn_agr,agr,goods
111200,Vegetable and melon farming,veg_agr,agr,goods
111300,Fruit and tree nut farming,nut_agr,agr,goods
111400,"Greenhouse, nursery, and floriculture production",flo_agr,agr,goods
111900,Other crop farming,oth_agr,agr,goods
112120,Dairy cattle and milk production,dry_agr,agr,goods
1121A0,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",bef_agr,agr,goods
112300,Poultry and egg production,egg_agr,agr,goods
112A00,"Animal production, except cattle and poultry and eggs",ota_agr,agr,goods
113000,Forestry and logging,log_fof,fof,goods
114000,"Fishing, hunting and trapping",fht_fof,fof,goods
115000,Support activities for agriculture and forestry,saf_fof,fof,goods
211000,Oil and gas extraction,oil_oil,oil,goods
212100,Coal mining,col_min,min,goods
212230,"Copper, nickel, lead, and zinc mining",led_min,min,goods
2122A0,"Iron, gold, silver, and other metal ore mining",ore_min,min,goods
212310,Stone mining and quarrying,stn_min,min,goods
2123A0,Other nonmetallic mineral mining and quarrying,oth_min,min,goods
213111,Drilling oil and gas wells,drl_smn,smn,goods
21311A,Other support activities for mining,oth_smn,smn,goods
221100,"Electric power generation, transmission, and distribution",ele_uti,uti,goods
221200,Natural gas distribution,gas_uti,uti,goods
221300,"Water, sewage and other systems",wat_uti,uti,goods
233210,Health care structures,hcs_con,con,goods
233262,Educational and vocational structures,edu_con,con,goods
230301,Nonresidential maintenance and repair,nmr_con,con,goods
230302,Residential maintenance and repair,rmr_con,con,goods
2332A0,Office and commercial structures,off_con,con,goods
233412,Multifamily residential structures,mrs_con,con,goods
2334A0,Other residential structures,ors_con,con,goods
233230,Manufacturing structures,mfs_con,con,goods
2332D0,Other nonresidential structures,ons_con,con,goods
233240,Power and communication structures,pwr_con,con,goods
233411,Single-family residential structures,srs_con,con,goods
2332C0,Transportation structures and highways and streets,trn_con,con,goods
321100,Sawmills and wood preservation,saw_wpd,wpd,goods
321200,"Veneer, plywood, and engineered wood product manufacturing",ven_wpd,wpd,goods
321910,Millwork,mil_wpd,wpd,goods
3219A0,All other wood product manufacturing,owp_wpd,wpd,goods
327100,Clay product and refractory manufacturing,cly_nmp,nmp,goods
327200,Glass and glass product manufacturing,gla_nmp,nmp,goods
327310,Cement manufacturing,cmt_nmp,nmp,goods
327320,Ready-mix concrete manufacturing,cnc_nmp,nmp,goods
327330,"Concrete pipe, brick, and block manufacturing",cpb_nmp,nmp,goods
327390,Other concrete product manufacturing,ocp_nmp,nmp,goods
327400,Lime and gypsum product manufacturing,lme_nmp,nmp,goods
327910,Abrasive product manufacturing,abr_nmp,nmp,goods
327991,Cut stone and stone product manufacturing,cut_nmp,nmp,goods
327992,Ground or treated mineral and earth manufacturing,tmn_nmp,nmp,goods
327993,Mineral wool manufacturing,wol_nmp,nmp,goods
327999,Miscellaneous nonmetallic mineral products,mnm_nmp,nmp,goods
331110,Iron and steel mills and ferroalloy manufacturing,irn_pmt,pmt,goods
331200,Steel product manufacturing from purchased steel,stl_pmt,pmt,goods
331313,Alumina refining and primary aluminum production,ala_pmt,pmt,goods
326210,Tire manufacturing,tir_pla,pla,goods
33131B,Aluminum product manufacturing from purchased aluminum,alu_pmt,pmt,goods
331410,Nonferrous Metal (except Aluminum) Smelting and Refining,nms_pmt,pmt,goods
331420,"Copper rolling, drawing, extruding and alloying",cop_pmt,pmt,goods
331490,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",nfm_pmt,pmt,goods
331510,Ferrous metal foundries,fmf_pmt,pmt,goods
331520,Nonferrous metal foundries,nff_pmt,pmt,goods
332114,Custom roll forming,rol_fmt,fmt,goods
33211A,"All other forging, stamping, and sintering",fss_fmt,fmt,goods
332119,"Metal crown, closure, and other metal stamping (except automotive)",crn_fmt,fmt,goods
332200,Cutlery and handtool manufacturing,cut_fmt,fmt,goods
332310,Plate work and fabricated structural product manufacturing,plt_fmt,fmt,goods
332320,Ornamental and architectural metal products manufacturing,orn_fmt,fmt,goods
332410,Power boiler and heat exchanger manufacturing,pwr_fmt,fmt,goods
332420,Metal tank (heavy gauge) manufacturing,mtt_fmt,fmt,goods
332430,"Metal can, box, and other metal container (light gauge) manufacturing",mtc_fmt,fmt,goods
332500,Hardware manufacturing,hdw_fmt,fmt,goods
332600,Spring and wire product manufacturing,spr_fmt,fmt,goods
332710,Machine shops,mch_fmt,fmt,goods
332720,"Turned product and screw, nut, and bolt manufacturing",tps_fmt,fmt,goods
332800,"Coating, engraving, heat treating and allied activities",ceh_fmt,fmt,goods
332913,Plumbing fixture fitting and trim manufacturing,plb_fmt,fmt,goods
33291A,Valve and fittings other than plumbing,vlv_fmt,fmt,goods
332991,Ball and roller bearing manufacturing,bbr_fmt,fmt,goods
332996,Fabricated pipe and pipe fitting manufacturing,fab_fmt,fmt,goods
33299A,"Ammunition, arms, ordnance, and accessories manufacturing",amn_fmt,fmt,goods
332999,Other fabricated metal manufacturing,omf_fmt,fmt,goods
333111,Farm machinery and equipment manufacturing,frm_mch,mch,goods
333112,Lawn and garden equipment manufacturing,lwn_mch,mch,goods
333120,Construction machinery manufacturing,con_mch,mch,goods
333130,Mining and oil and gas field machinery manufacturing,min_mch,mch,goods
333242,Semiconductor machinery manufacturing,smc_mch,mch,goods
33329A,Other industrial machinery manufacturing,oti_mch,mch,goods
333314,Optical instrument and lens manufacturing,opt_mch,mch,goods
333316,Photographic and photocopying equipment manufacturing,pht_mch,mch,goods
333318,Other commercial and service industry machinery manufacturing,oci_mch,mch,goods
333414,Heating equipment (except warm air furnaces) manufacturing,hea_mch,mch,goods
333415,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",acn_mch,mch,goods
333413,Industrial and commercial fan and blower and air purification equipment manufacturing,air_mch,mch,goods
333511,Industrial mold manufacturing,imm_mch,mch,goods
333514,"Special tool, die, jig, and fixture manufacturing",spt_mch,mch,goods
333517,Machine tool manufacturing,mct_mch,mch,goods
33351B,"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing",cut_mch,mch,goods
333611,Turbine and turbine generator set units manufacturing,tbn_mch,mch,goods
333612,"Speed changer, industrial high-speed drive, and gear manufacturing",spd_mch,mch,goods
333613,Mechanical power transmission equipment manufacturing,mch_mch,mch,goods
333618,Other engine equipment manufacturing,oee_mch,mch,goods
333912,Air and gas compressor manufacturing,agc_mch,mch,goods
33391A,Pump and pumping equipment manufacturing,ppe_mch,mch,goods
333920,Material handling equipment manufacturing,mat_mch,mch,goods
333991,Power-driven handtool manufacturing,pwr_mch,mch,goods
333993,Packaging machinery manufacturing,pkg_mch,mch,goods
531HST,Tenant-occupied housing,rnt_hou,hou,goods
333994,Industrial process furnace and oven manufacturing,ipf_mch,mch,goods
33399A,Other general purpose machinery manufacturing,ogp_mch,mch,goods
33399B,Fluid power process machinery,fld_mch,mch,goods
334111,Electronic computer manufacturing,ecm_cep,cep,goods
334112,Computer storage device manufacturing,csd_cep,cep,goods
334118,Computer terminals and other computer peripheral equipment manufacturing,ctm_cep,cep,goods
334210,Telephone apparatus manufacturing,tel_cep,cep,goods
334220,Broadcast and wireless communications equipment,brd_cep,cep,goods
334290,Other communications equipment manufacturing,oce_cep,cep,goods
334413,Semiconductor and related device manufacturing,sem_cep,cep,goods
334418,Printed circuit assembly (electronic assembly) manufacturing,prc_cep,cep,goods
33441A,Other electronic component manufacturing,oec_cep,cep,goods
334510,Electromedical and electrotherapeutic apparatus manufacturing,eea_cep,cep,goods
334511,"Search, detection, and navigation instruments manufacturing",sdn_cep,cep,goods
334512,Automatic environmental control manufacturing,aec_cep,cep,goods
334513,Industrial process variable instruments manufacturing,ipv_cep,cep,goods
334514,Totalizing fluid meter and counting device manufacturing,tfl_cep,cep,goods
334515,Electricity and signal testing instruments manufacturing,els_cep,cep,goods
334516,Analytical laboratory instrument manufacturing,ali_cep,cep,goods
334517,Irradiation apparatus manufacturing,irr_cep,cep,goods
33451A,"Watch, clock, and other measuring and controlling device manufacturing",wcm_cep,cep,goods
334300,Audio and video equipment manufacturing,aud_cep,cep,goods
334610,Manufacturing and reproducing magnetic and optical media,mmo_cep,cep,goods
335110,Electric lamp bulb and part manufacturing,elb_eec,eec,goods
335120,Lighting fixture manufacturing,ltf_eec,eec,goods
335210,Small electrical appliance manufacturing,sea_eec,eec,goods
335221,Household cooking appliance manufacturing,hca_eec,eec,goods
335222,Household refrigerator and home freezer manufacturing,hrf_eec,eec,goods
335224,Household laundry equipment manufacturing,hle_eec,eec,goods
335228,Other major household appliance manufacturing,omh_eec,eec,goods
335311,"Power, distribution, and specialty transformer manufacturing",pwr_eec,eec,goods
335312,Motor and generator manufacturing,mtg_eec,eec,goods
335313,Switchgear and switchboard apparatus manufacturing,swt_eec,eec,goods
335314,Relay and industrial control manufacturing,ric_eec,eec,goods
335911,Storage battery manufacturing,sbt_eec,eec,goods
335912,Primary battery manufacturing,pbt_eec,eec,goods
335920,Communication and energy wire and cable manufacturing,cme_eec,eec,goods
335930,Wiring device manufacturing,wdv_eec,eec,goods
335991,Carbon and graphite product manufacturing,cbn_eec,eec,goods
335999,All other miscellaneous electrical equipment and component manufacturing,oee_eec,eec,goods
336111,Automobile manufacturing,atm_mot,mot,goods
336112,Light truck and utility vehicle manufacturing,ltr_mot,mot,goods
336120,Heavy duty truck manufacturing,htr_mot,mot,goods
336211,Motor vehicle body manufacturing,mbd_mot,mot,goods
336212,Truck trailer manufacturing,trl_mot,mot,goods
336213,Motor home manufacturing,hom_mot,mot,goods
336214,Travel trailer and camper manufacturing,cam_mot,mot,goods
336310,Motor vehicle gasoline engine and engine parts manufacturing,gas_mot,mot,goods
336320,Motor vehicle electrical and electronic equipment manufacturing,eee_mot,mot,goods
336350,Motor vehicle transmission and power train parts manufacturing,tpw_mot,mot,goods
336360,Motor vehicle seating and interior trim manufacturing,trm_mot,mot,goods
336370,Motor vehicle metal stamping,stm_mot,mot,goods
336390,Other Motor Vehicle Parts Manufacturing,omv_mot,mot,goods
3363A0,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",brk_mot,mot,goods
336411,Aircraft manufacturing,air_ote,ote,goods
336412,Aircraft engine and engine parts manufacturing,aen_ote,ote,goods
336413,Other aircraft parts and auxiliary equipment manufacturing,oar_ote,ote,goods
336414,Guided missile and space vehicle manufacturing,mis_ote,ote,goods
33641A,Propulsion units and parts for space vehicles and guided missiles,pro_ote,ote,goods
336500,Railroad rolling stock manufacturing,rrd_ote,ote,goods
336611,Ship building and repairing,shp_ote,ote,goods
336612,Boat building,bot_ote,ote,goods
336991,"Motorcycle, bicycle, and parts manufacturing",mcl_ote,ote,goods
336992,"Military armored vehicle, tank, and tank component manufacturing",mlt_ote,ote,goods
336999,All other transportation equipment manufacturing,otm_ote,ote,goods
337110,Wood kitchen cabinet and countertop manufacturing,cab_fpd,fpd,goods
337121,Upholstered household furniture manufacturing,uph_fpd,fpd,goods
337122,Nonupholstered wood household furniture manufacturing,nup_fpd,fpd,goods
337127,Institutional furniture manufacturing,ifm_fpd,fpd,goods
33712N,Other household nonupholstered furniture,ohn_fpd,fpd,goods
337215,"Showcase, partition, shelving, and locker manufacturing",shv_fpd,fpd,goods
33721A,Office furniture and custom architectural woodwork and millwork manufacturing,off_fpd,fpd,goods
337900,Other furniture related product manufacturing,ofp_fpd,fpd,goods
339112,Surgical and medical instrument manufacturing,smi_mmf,mmf,goods
339113,Surgical appliance and supplies manufacturing,sas_mmf,mmf,goods
339114,Dental equipment and supplies manufacturing,dnt_mmf,mmf,goods
339115,Ophthalmic goods manufacturing,oph_mmf,mmf,goods
339116,Dental laboratories,dlb_mmf,mmf,goods
339910,Jewelry and silverware manufacturing,jwl_mmf,mmf,goods
339920,Sporting and athletic goods manufacturing,ath_mmf,mmf,goods
339930,"Doll, toy, and game manufacturing",toy_mmf,mmf,goods
339940,Office supplies (except paper) manufacturing,ofm_mmf,mmf,goods
339950,Sign manufacturing,sgn_mmf,mmf,goods
339990,All other miscellaneous manufacturing,omm_mmf,mmf,goods
311111,Dog and cat food manufacturing,dog_fbp,fbp,goods
311119,Other animal food manufacturing,oaf_fbp,fbp,goods
311210,Flour milling and malt manufacturing,flr_fbp,fbp,goods
311221,Wet corn milling,wet_fbp,fbp,goods
311225,Fats and oils refining and blending,fat_fbp,fbp,goods
311224,Soybean and other oilseed processing,soy_fbp,fbp,goods
311230,Breakfast cereal manufacturing,brk_fbp,fbp,goods
311300,Sugar and confectionery product manufacturing,sug_fbp,fbp,goods
311410,Frozen food manufacturing,fzn_fbp,fbp,goods
311420,"Fruit and vegetable canning, pickling, and drying",can_fbp,fbp,goods
311513,Cheese manufacturing,chs_fbp,fbp,goods
311514,"Dry, condensed, and evaporated dairy product manufacturing",dry_fbp,fbp,goods
31151A,Fluid milk and butter manufacturing,mlk_fbp,fbp,goods
311520,Ice cream and frozen dessert manufacturing,ice_fbp,fbp,goods
311615,Poultry processing,chk_fbp,fbp,goods
31161A,"Animal (except poultry) slaughtering, rendering, and processing",asp_fbp,fbp,goods
311700,Seafood product preparation and packaging,sea_fbp,fbp,goods
311810,Bread and bakery product manufacturing,brd_fbp,fbp,goods
3118A0,"Cookie, cracker, pasta, and tortilla manufacturing",cok_fbp,fbp,goods
311910,Snack food manufacturing,snk_fbp,fbp,goods
311920,Coffee and tea manufacturing,tea_fbp,fbp,goods
311930,Flavoring syrup and concentrate manufacturing,syr_fbp,fbp,goods
311940,Seasoning and dressing manufacturing,spc_fbp,fbp,goods
311990,All other food manufacturing,ofm_fbp,fbp,goods
312110,Soft drink and ice manufacturing,pop_fbp,fbp,goods
312120,Breweries,ber_fbp,fbp,goods
312130,Wineries,wne_fbp,fbp,goods
312140,Distilleries,why_fbp,fbp,goods
312200,Tobacco product manufacturing,cig_fbp,fbp,goods
