bea_code,windc_det_code,windc_sum_code,windc_det_desc
561400,bsp_adm,adm,Business support services
561700,dwe_adm,adm,Services to buildings and dwellings
561300,emp_adm,adm,Employment services
561200,fac_adm,adm,Facilities support services
561600,inv_adm,adm,Investigation and security services
561100,off_adm,adm,Office administrative services
561900,oss_adm,adm,Other support services
561500,trv_adm,adm,Travel arrangement and reservation services
1121A0,bef_agr,agr,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming"
112120,dry_agr,agr,Dairy cattle and milk production
112300,egg_agr,agr,Poultry and egg production
111400,flo_agr,agr,"Greenhouse, nursery, and floriculture production"
1111B0,grn_agr,agr,Grain farming
111300,nut_agr,agr,Fruit and tree nut farming
1111A0,oil_agr,agr,Oilseed farming
112A00,ota_agr,agr,"Animal production, except cattle and poultry and eggs"
111900,oth_agr,agr,Other crop farming
111200,veg_agr,agr,Vegetable and melon farming
481000,air_air,air,Air transportation
315000,app_alt,alt,Apparel manufacturing
316000,lea_alt,alt,Leather and allied product manufacturing
621200,dnt_amb,amb,Offices of dentists
621600,hom_amb,amb,Home health care services
621500,lab_amb,amb,Medical and diagnostic laboratories
621900,oas_amb,amb,Other ambulatory health care services
621300,ohp_amb,amb,Offices of other health practitioners
621400,out_amb,amb,Outpatient care centers
621100,phy_amb,amb,Offices of physicians
721000,amd_amd,amd,Accommodation
711A00,agt_art,art,Promoters of performing arts and sports and agents for public figures
711500,ind_art,art,"Independent artists, writers, and performers"
712000,mus_art,art,"Museums, historical sites, zoos, and parks"
711100,pfm_art,art,Performing arts companies
711200,spr_art,art,Spectator sports
522A00,cre_bnk,bnk,Nondepository credit intermediation and related activities
52A000,mon_bnk,bnk,Monetary authorities and depository credit intermediation
515200,cbl_brd,brd,Cable and other subscription programming
515100,rad_brd,brd,Radio and television broadcasting
517A00,sat_brd,brd,"Satellite, telecommunications resellers, and all other telecommunications"
517210,wls_brd,brd,Wireless telecommunications carriers (except satellite)
517110,wtl_brd,brd,Wired telecommunications carriers
334512,aec_cep,cep,Automatic environmental control manufacturing
334516,ali_cep,cep,Analytical laboratory instrument manufacturing
334300,aud_cep,cep,Audio and video equipment manufacturing
334220,brd_cep,cep,Broadcast and wireless communications equipment
334112,csd_cep,cep,Computer storage device manufacturing
334118,ctm_cep,cep,Computer terminals and other computer peripheral equipment manufacturing
334111,ecm_cep,cep,Electronic computer manufacturing
334510,eea_cep,cep,Electromedical and electrotherapeutic apparatus manufacturing
334515,els_cep,cep,Electricity and signal testing instruments manufacturing
334513,ipv_cep,cep,Industrial process variable instruments manufacturing
334517,irr_cep,cep,Irradiation apparatus manufacturing
334610,mmo_cep,cep,Manufacturing and reproducing magnetic and optical media
334290,oce_cep,cep,Other communications equipment manufacturing
33441A,oec_cep,cep,Other electronic component manufacturing
334418,prc_cep,cep,Printed circuit assembly (electronic assembly) manufacturing
334511,sdn_cep,cep,"Search, detection, and navigation instruments manufacturing"
334413,sem_cep,cep,Semiconductor and related device manufacturing
334210,tel_cep,cep,Telephone apparatus manufacturing
334514,tfl_cep,cep,Totalizing fluid meter and counting device manufacturing
33451A,wcm_cep,cep,"Watch, clock, and other measuring and controlling device manufacturing"
325520,adh_che,che,Adhesive manufacturing
325414,bio_che,che,Biological product (except diagnostic) manufacturing
325310,fmf_che,che,Fertilizer manufacturing
325120,igm_che,che,Industrial gas manufacturing
325413,inv_che,che,In-vitro diagnostic substance manufacturing
325411,mbm_che,che,Medicinal and botanical manufacturing
325180,obi_che,che,Other basic inorganic chemical manufacturing
325190,obo_che,che,Other basic organic chemical manufacturing
3259A0,och_che,che,All other chemical product and preparation manufacturing
325320,pag_che,che,Pesticide and other agricultural chemical manufacturing
325412,phm_che,che,Pharmaceutical preparation manufacturing
325211,pmr_che,che,Plastics material and resin manufacturing
325510,pnt_che,che,Paint and coating manufacturing
325910,pri_che,che,Printing ink manufacturing
325110,ptr_che,che,Petrochemical manufacturing
325130,sdp_che,che,Synthetic dye and pigment manufacturing
325610,sop_che,che,Soap and cleaning compound manufacturing
3252A0,srf_che,che,Synthetic rubber and artificial and synthetic fibers and filaments manufacturing
325620,toi_che,che,Toilet preparation manufacturing
541511,cus_com,com,Custom computer programming services
54151A,ocs_com,com,"Other computer related services, including facilities management"
541512,sys_com,com,Computer systems design services
233262,edu_con,con,Educational and vocational structures
233210,hcs_con,con,Health care structures
233230,mfs_con,con,Manufacturing structures
233412,mrs_con,con,Multifamily residential structures
230301,nmr_con,con,Nonresidential maintenance and repair
2332A0,off_con,con,Office and commercial structures
2332D0,ons_con,con,Other nonresidential structures
2334A0,ors_con,con,Other residential structures
233240,pwr_con,con,Power and communication structures
230302,rmr_con,con,Residential maintenance and repair
233411,srs_con,con,Single-family residential structures
2332C0,trn_con,con,Transportation structures and highways and streets
518200,dpr_dat,dat,"Data processing, hosting, and related services"
519130,int_dat,dat,Internet publishing and broadcasting and Web search portals
5191A0,new_dat,dat,"News syndicates, libraries, archives and all other information services"
611B00,oes_edu,edu,Other educational services
611100,sec_edu,edu,Elementary and secondary schools
611A00,uni_edu,edu,"Junior colleges, colleges, universities, and professional schools"
335991,cbn_eec,eec,Carbon and graphite product manufacturing
335920,cme_eec,eec,Communication and energy wire and cable manufacturing
335110,elb_eec,eec,Electric lamp bulb and part manufacturing
335221,hca_eec,eec,Household cooking appliance manufacturing
335224,hle_eec,eec,Household laundry equipment manufacturing
