bea_code,windc_det_code,windc_sum_code,bea_desc,category
1111A0,oil_agr,agr,Oilseed farming,gds
1111B0,grn_agr,agr,Grain farming,gds
111200,veg_agr,agr,Vegetable and melon farming,gds
111300,nut_agr,agr,Fruit and tree nut farming,gds
111400,flo_agr,agr,"Greenhouse, nursery, and floriculture production",gds
111900,oth_agr,agr,Other crop farming,gds
112120,dry_agr,agr,Dairy cattle and milk production,gds
1121A0,bef_agr,agr,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",gds
112300,egg_agr,agr,Poultry and egg production,gds
112A00,ota_agr,agr,"Animal production, except cattle and poultry and eggs",gds
113000,log_fof,fof,Forestry and logging,gds
114000,fht_fof,fof,"Fishing, hunting and trapping",gds
115000,saf_fof,fof,Support activities for agriculture and forestry,gds
211000,oil_oil,oil,Oil and gas extraction,gds
212100,col_min,min,Coal mining,gds
212230,led_min,min,"Copper, nickel, lead, and zinc mining",gds
2122A0,ore_min,min,"Iron, gold, silver, and other metal ore mining",gds
212310,stn_min,min,Stone mining and quarrying,gds
2123A0,oth_min,min,Other nonmetallic mineral mining and quarrying,gds
213111,drl_smn,smn,Drilling oil and gas wells,gds
21311A,oth_smn,smn,Other support activities for mining,gds
221100,ele_uti,uti,"Electric power generation, transmission, and distribution",gds
221200,gas_uti,uti,Natural gas distribution,gds
221300,wat_uti,uti,"Water, sewage and other systems",gds
233210,hcs_con,con,Health care structures,gds
233262,edu_con,con,Educational and vocational structures,gds
230301,nmr_con,con,Nonresidential maintenance and repair,gds
230302,rmr_con,con,Residential maintenance and repair,gds
2332A0,off_con,con,Office and commercial structures,gds
233412,mrs_con,con,Multifamily residential structures,gds
2334A0,ors_con,con,Other residential structures,gds
233230,mfs_con,con,Manufacturing structures,gds
2332D0,ons_con,con,Other nonresidential structures,gds
233240,pwr_con,con,Power and communication structures,gds
233411,srs_con,con,Single-family residential structures,gds
2332C0,trn_con,con,Transportation structures and highways and streets,gds
321100,saw_wpd,wpd,Sawmills and wood preservation,gds
321200,ven_wpd,wpd,"Veneer, plywood, and engineered wood product manufacturing",gds
321910,mil_wpd,wpd,Millwork,gds
3219A0,owp_wpd,wpd,All other wood product manufacturing,gds
327100,cly_nmp,nmp,Clay product and refractory manufacturing,gds
327200,gla_nmp,nmp,Glass and glass product manufacturing,gds
327310,cmt_nmp,nmp,Cement manufacturing,gds
327320,cnc_nmp,nmp,Ready-mix concrete manufacturing,gds
327330,cpb_nmp,nmp,"Concrete pipe, brick, and block manufacturing",gds
327390,ocp_nmp,nmp,Other concrete product manufacturing,gds
327400,lme_nmp,nmp,Lime and gypsum product manufacturing,gds
327910,abr_nmp,nmp,Abrasive product manufacturing,gds
327991,cut_nmp,nmp,Cut stone and stone product manufacturing,gds
327992,tmn_nmp,nmp,Ground or treated mineral and earth manufacturing,gds
327993,wol_nmp,nmp,Mineral wool manufacturing,gds
327999,mnm_nmp,nmp,Miscellaneous nonmetallic mineral products,gds
331110,irn_pmt,pmt,Iron and steel mills and ferroalloy manufacturing,gds
331200,stl_pmt,pmt,Steel product manufacturing from purchased steel,gds
331313,ala_pmt,pmt,Alumina refining and primary aluminum production,gds
326210,tir_pla,pla,Tire manufacturing,gds
33131B,alu_pmt,pmt,Aluminum product manufacturing from purchased aluminum,gds
331410,nms_pmt,pmt,Nonferrous Metal (except Aluminum) Smelting and Refining,gds
331420,cop_pmt,pmt,"Copper rolling, drawing, extruding and alloying",gds
331490,nfm_pmt,pmt,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",gds
